customer_id,first_purchase_date,last_purchase_date,recency_days,frequency_orders,monetary_value_gbp,average_order_value_gbp,units_purchased,distinct_products,is_repeat_customer,r_score,f_score,m_score,rfm_score,rfm_segment,cluster_id,cluster_label
12485,2010-06-28,2010-06-28,530,1,708.1,708.1,414,34,False,1,1,3,5,At Risk,4,Dormant Low-Value Customers
12486,2010-10-04,2010-10-04,432,1,1037.28,1037.28,523,49,False,1,1,3,5,At Risk,4,Dormant Low-Value Customers
12487,2009-12-09,2009-12-09,731,1,285.29999999999995,285.29999999999995,174,2,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12488,2011-09-25,2011-11-30,10,3,1298.66,432.8866666666667,529,46,True,5,3,4,12,Potential Loyalists,2,Recent Growth Customers
12489,2011-01-07,2011-01-07,337,1,334.93,334.93,105,15,False,2,1,2,5,Hibernating,4,Dormant Low-Value Customers
12490,2009-12-01,2011-12-04,6,21,9823.64,467.79238095238094,5906,195,True,5,5,5,15,Champions,1,High-Value Champions
12491,2011-11-01,2011-11-01,39,1,460.40000000000003,460.40000000000003,260,25,False,4,1,2,7,New Customers,2,Recent Growth Customers
12492,2010-11-01,2011-10-07,64,3,715.21,238.40333333333334,444,38,True,3,3,3,9,Need Attention,2,Recent Growth Customers
12493,2011-05-26,2011-06-27,166,2,433.74,216.87,207,20,True,3,2,2,7,Need Attention,4,Dormant Low-Value Customers
12494,2010-05-12,2011-11-24,16,9,1815.27,201.69666666666666,979,83,True,5,5,4,14,Champions,1,High-Value Champions
12495,2010-03-09,2010-03-09,641,1,357.4,357.4,130,17,False,1,1,2,4,Hibernating,4,Dormant Low-Value Customers
12496,2010-03-29,2010-03-29,621,2,45.34,22.67,30,10,True,1,2,1,4,Hibernating,4,Dormant Low-Value Customers
12497,2010-03-05,2011-09-19,82,3,6248.5,2082.8333333333335,5685,41,True,3,3,5,11,Need Attention,3,Lapsed Established Customers
12498,2011-10-13,2011-11-18,22,3,403.70000000000005,134.5666666666667,159,21,True,4,3,2,9,Potential Loyalists,2,Recent Growth Customers
12499,2010-05-28,2010-05-28,561,1,393.72,393.72,302,27,False,1,1,2,4,Hibernating,4,Dormant Low-Value Customers
12500,2010-02-04,2011-11-16,24,19,5955.21,313.4321052631579,3377,88,True,4,5,5,14,Champions,1,High-Value Champions
12501,2011-01-07,2011-01-07,337,1,2169.39,2169.39,1783,149,False,2,1,4,7,At Risk,3,Lapsed Established Customers
12502,2011-02-03,2011-09-05,96,5,3723.87,744.774,820,102,True,3,4,5,12,Loyal Customers,3,Lapsed Established Customers
12503,2010-05-04,2010-05-04,585,1,1126.0,1126.0,561,2,False,1,1,3,5,At Risk,4,Dormant Low-Value Customers
12504,2010-04-22,2011-11-21,19,4,779.05,194.7625,458,11,True,5,3,3,11,Potential Loyalists,2,Recent Growth Customers
12505,2010-10-27,2010-10-27,409,1,955.2,955.2,324,42,False,2,1,3,6,At Risk,4,Dormant Low-Value Customers
12506,2011-04-21,2011-04-21,233,1,73.5,73.5,23,23,False,2,1,1,4,Hibernating,4,Dormant Low-Value Customers
12507,2010-05-04,2011-07-28,135,4,1844.06,461.015,1256,46,True,3,3,4,10,Need Attention,3,Lapsed Established Customers
12508,2011-11-10,2011-11-13,27,2,397.88,198.94,271,57,True,4,2,2,8,Potential Loyalists,2,Recent Growth Customers
12509,2011-02-28,2011-02-28,285,1,176.5,176.5,55,7,False,2,1,1,4,Hibernating,4,Dormant Low-Value Customers
12510,2009-12-04,2011-07-20,143,9,5178.02,575.3355555555556,2049,94,True,3,5,5,13,Loyal Customers,3,Lapsed Established Customers
12511,2010-10-07,2010-10-07,429,1,3084.02,3084.02,1753,190,False,1,1,5,7,At Risk,3,Lapsed Established Customers
12512,2011-10-04,2011-10-04,67,2,132.18,66.09,96,31,True,3,2,1,6,Need Attention,4,Dormant Low-Value Customers
12513,2011-08-19,2011-08-19,113,1,612.29,612.29,462,35,False,3,1,3,7,Need Attention,4,Dormant Low-Value Customers
12514,2010-03-08,2011-03-17,268,2,1597.76,798.88,840,76,True,2,2,4,8,At Risk,3,Lapsed Established Customers
12515,2010-12-21,2010-12-21,354,1,383.7,383.7,131,16,False,2,1,2,5,Hibernating,4,Dormant Low-Value Customers
12516,2010-04-19,2011-09-23,78,4,2648.62,662.155,1952,49,True,3,3,4,10,Need Attention,3,Lapsed Established Customers
12517,2011-06-02,2011-11-11,29,5,2481.6,496.32,1361,232,True,4,4,4,12,Champions,2,Recent Growth Customers
12518,2011-08-21,2011-12-09,1,5,2056.89,411.378,1318,84,True,5,4,4,13,Champions,2,Recent Growth Customers
12519,2010-08-20,2011-10-07,64,2,716.54,358.27,387,34,True,3,2,3,8,Need Attention,2,Recent Growth Customers
12520,2011-03-11,2011-09-21,80,5,2634.26,526.8520000000001,1439,121,True,3,4,4,11,Loyal Customers,3,Lapsed Established Customers
12521,2011-07-20,2011-07-20,143,1,599.68,599.68,309,38,False,3,1,2,6,Need Attention,4,Dormant Low-Value Customers
12522,2011-10-19,2011-10-31,40,2,192.72,96.36,194,11,True,4,2,1,7,Need Attention,2,Recent Growth Customers
12523,2009-12-07,2011-11-20,20,23,4352.35,189.2326086956522,2263,176,True,4,5,5,14,Champions,1,High-Value Champions
12524,2010-02-08,2011-11-30,10,17,11126.11,654.4770588235294,7178,157,True,5,5,5,15,Champions,1,High-Value Champions
12525,2010-03-02,2010-07-29,499,3,973.73,324.57666666666665,509,56,True,1,3,3,7,At Risk,3,Lapsed Established Customers
12526,2011-09-06,2011-12-09,1,3,1316.66,438.8866666666667,632,64,True,5,3,4,12,Potential Loyalists,2,Recent Growth Customers
12527,2010-06-28,2011-09-19,82,5,735.51,147.102,526,26,True,3,4,3,10,Loyal Customers,3,Lapsed Established Customers
12528,2011-01-31,2011-11-30,10,6,1933.48,322.24666666666667,756,50,True,5,4,4,13,Champions,2,Recent Growth Customers
12529,2010-06-29,2010-06-29,529,1,316.48,316.48,192,21,False,1,1,2,4,Hibernating,4,Dormant Low-Value Customers
12530,2010-03-07,2011-10-11,60,9,3759.26,417.6955555555556,2713,94,True,3,5,5,13,Loyal Customers,1,High-Value Champions
12531,2010-01-22,2011-11-25,15,2,1933.2,966.6,1119,126,True,5,2,4,11,Potential Loyalists,2,Recent Growth Customers
12532,2011-11-09,2011-11-09,31,1,349.83000000000004,349.83000000000004,153,16,False,4,1,2,7,New Customers,2,Recent Growth Customers
12533,2009-12-01,2010-03-22,628,2,1367.89,683.945,704,63,True,1,2,4,7,At Risk,3,Lapsed Established Customers
12534,2011-08-01,2011-08-01,131,1,1089.18,1089.18,651,63,False,3,1,3,7,Need Attention,4,Dormant Low-Value Customers
12535,2011-06-06,2011-09-09,92,2,716.35,358.175,219,28,True,3,2,3,8,Need Attention,2,Recent Growth Customers
12536,2011-10-11,2011-10-27,44,3,12601.830000000002,4200.610000000001,2803,260,True,4,3,5,12,Potential Loyalists,3,Lapsed Established Customers
12537,2010-10-27,2010-10-27,409,1,732.94,732.94,449,43,False,2,1,3,6,At Risk,4,Dormant Low-Value Customers
12538,2010-11-26,2011-11-10,30,2,640.45,320.225,336,33,True,4,2,3,9,Potential Loyalists,2,Recent Growth Customers
12539,2009-12-23,2011-11-17,23,7,11214.75,1602.107142857143,4535,276,True,4,4,5,13,Champions,1,High-Value Champions
12540,2009-12-07,2011-11-20,20,33,22254.49,674.3784848484848,11019,354,True,4,5,5,14,Champions,1,High-Value Champions
12541,2011-03-04,2011-11-10,30,3,981.18,327.06,680,46,True,4,3,3,10,Potential Loyalists,2,Recent Growth Customers
12542,2010-03-09,2010-08-12,485,2,481.88,240.94,522,39,True,1,2,2,5,Hibernating,4,Dormant Low-Value Customers
12543,2010-09-17,2010-09-17,449,1,980.25,980.25,688,43,False,1,1,3,5,At Risk,4,Dormant Low-Value Customers
12544,2011-11-03,2011-11-03,37,1,372.7,372.7,136,19,False,4,1,2,7,New Customers,2,Recent Growth Customers
12545,2011-03-25,2011-09-25,76,2,1000.39,500.195,523,42,True,3,2,3,8,Need Attention,2,Recent Growth Customers
12546,2011-09-23,2011-10-24,47,2,1161.5,580.75,633,59,True,4,2,3,9,Potential Loyalists,2,Recent Growth Customers
12547,2010-07-27,2011-05-26,198,3,383.58,127.86,309,13,True,2,3,2,7,At Risk,4,Dormant Low-Value Customers
12548,2011-06-26,2011-06-26,167,1,95.19999999999999,95.19999999999999,49,5,False,3,1,1,5,Need Attention,4,Dormant Low-Value Customers
12549,2010-01-11,2010-05-13,576,6,1575.68,262.61333333333334,1366,38,True,1,4,4,9,Cannot Lose Them,3,Lapsed Established Customers
12550,2011-09-21,2011-09-21,80,1,964.83,964.83,569,57,False,3,1,3,7,Need Attention,2,Recent Growth Customers
12551,2010-12-17,2010-12-17,358,1,168.0,168.0,100,10,False,2,1,1,4,Hibernating,4,Dormant Low-Value Customers
12552,2011-10-31,2011-11-01,39,2,437.82,218.91,88,20,True,4,2,2,8,Potential Loyalists,2,Recent Growth Customers
12553,2010-10-12,2011-12-01,9,12,4608.75,384.0625,2325,109,True,5,5,5,15,Champions,1,High-Value Champions
12554,2010-09-17,2010-09-17,449,1,468.5,468.5,240,26,False,1,1,2,4,Hibernating,4,Dormant Low-Value Customers
12555,2010-01-26,2010-01-26,683,1,129.23,129.23,1,1,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12556,2011-07-11,2011-10-20,51,2,599.56,299.78,355,100,True,4,2,2,8,Potential Loyalists,2,Recent Growth Customers
12557,2009-12-17,2011-11-23,17,8,18096.14,2262.0175,6382,15,True,5,4,5,14,Champions,1,High-Value Champions
12558,2011-12-02,2011-12-02,8,1,269.96,269.96,196,11,False,5,1,1,7,New Customers,2,Recent Growth Customers
12559,2011-01-24,2011-02-02,311,2,561.71,280.855,283,21,True,2,2,2,6,Hibernating,4,Dormant Low-Value Customers
