month_start,stock_code,description,revenue_gbp,units_sold,orders,identified_customers
2009-12-01,21523,FANCY FONT HOME SWEET HOME DOORMAT,2329.91,357,78,40
2009-12-01,21484,CHICK GREY HOT WATER BOTTLE,2319.03,698,95,67
2009-12-01,21258,VICTORIAN SEWING BOX LARGE,2316.0899999999997,176,48,27
2009-12-01,48194,DOORMAT HEARTS,2299.91,429,62,46
2009-12-01,22113,GREY HEART HOT WATER BOTTLE,2285.85,651,92,72
2009-12-01,79321,CHILLI LIGHTS,2279.29,487,52,32
2009-12-01,M,Manual,2237.39,24,17,9
2009-12-01,21755,LOVE BUILDING BLOCK WORD,2230.3700000000003,359,92,70
2009-12-01,21481,FAWN BLUE HOT WATER BOTTLE,2176.65,720,106,67
2009-12-01,85066,CREAM SWEETHEART MINI CHEST,2141.44,203,45,33
2009-12-01,20747,PICCADILLY TEA SET,2137.35,145,33,21
2009-12-01,82486,WOOD S/3 CABINET ANT WHITE FINISH,2127.28,278,64,38
2009-12-01,21955,UNION JACK GUNS & ROSES DOORMAT,2073.81,329,82,47
2009-12-01,82482,WOODEN PICTURE FRAME WHITE FINISH,2070.15,853,107,62
2009-12-01,85042,ANTIQUE LILY FAIRY LIGHTS,2036.81,428,57,43
2009-12-01,82494L,WOODEN FRAME ANTIQUE WHITE,2033.7600000000002,717,102,65
2009-12-01,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,2023.4099999999999,564,55,43
2009-12-01,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,2004.38,560,58,50
2009-12-01,21175,GIN + TONIC DIET METAL SIGN,1954.44,992,94,64
2009-12-01,21314,SMALL GLASS HEART TRINKET POT,1940.0,968,46,24
2009-12-01,72741,GRAND CHOCOLATECANDLE,1916.2,1252,74,53
2009-12-01,21931,JUMBO STORAGE BAG SUKI,1878.3999999999999,973,103,72
2009-12-01,35004C,SET OF 3 COLOURED FLYING DUCKS,1854.0500000000002,311,41,19
2009-12-01,22109,FULL ENGLISH BREAKFAST PLATE,1835.55,429,79,43
2009-12-01,21033,JUMBO BAG CHARLIE AND LOLA TOYS,1812.17,1322,25,20
2009-12-01,21908,CHOCOLATE THIS WAY METAL SIGN,1786.24,962,63,45
2009-12-01,22294,HEART FILIGREE DOVE SMALL,1775.58,1422,63,44
2009-12-01,85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,1755.75,465,29,24
2009-12-01,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1748.0,322,66,47
2009-12-01,85099F,JUMBO BAG STRAWBERRY,1683.8999999999999,926,62,49
2009-12-01,48111,DOOR MAT 3 SMILEY CATS,1683.06,294,51,34
2009-12-01,79072,TEATIME CAKE TIN WITH HANDLE,1672.35,153,49,19
2009-12-01,84968E,S/16 VINTAGE BLACK CUTLERY,1666.59,150,8,5
2009-12-01,84836,ZINC METAL HEART DECORATION,1653.56,1360,77,57
2009-12-01,35400,WOODEN BOX ADVENT CALENDAR,1649.2,121,48,23
2009-12-01,20725,LUNCH BAG RED SPOTTY,1623.6,977,88,59
2009-12-01,21524,SPOTTY HOME SWEET HOME DOORMAT,1620.09,291,53,45
2009-12-01,79341,WILLOW BRANCH LIGHTS.,1613.1100000000001,253,35,25
2009-12-01,20971,PINK BLUE FELT CRAFT TRINKET BOX,1593.41,1357,62,43
2009-12-01,15059A,ENGLISH ROSE EDWARDIAN PARASOL,1567.0,509,4,1
2009-12-01,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1565.8,180,46,31
2009-12-01,84050,PINK HEART SHAPE EGG FRYING PAN,1564.6499999999999,1067,64,37
2009-12-01,82001S,VINYL RECORD FRAME SILVER,1545.21,448,20,12
2009-12-01,22149,FELTCRAFT 6 FLOWER FRIENDS,1536.9,689,77,44
2009-12-01,48116,DOOR MAT MULTICOLOUR STRIPE,1529.1,282,34,27
2009-12-01,22064,PINK DOUGHNUT TRINKET POT,1527.76,862,67,33
2009-12-01,21491,SET OF THREE VINTAGE GIFT WRAPS,1497.6999999999998,753,97,67
2009-12-01,21488,RED WHITE SCARF HOT WATER BOTTLE,1477.3500000000001,381,64,41
2009-12-01,84839,SWEETHEART KEY CABINET,1464.0,320,41,29
2009-12-01,16014,SMALL CHINESE STYLE SCISSOR,1454.8,4540,5,4
2009-12-01,85232B,SET/3 RUSSIAN DOLL STACKING TINS,1452.72,264,68,43
2009-12-01,79323S,SILVER CHERRY LIGHTS,1441.77,235,31,24
2009-12-01,85047,WHITE BEADED GARLAND STRING 20LIGHT,1426.7499999999998,217,49,35
2009-12-01,21622,VINTAGE UNION JACK CUSHION COVER,1420.8,260,55,40
2009-12-01,84968D,S/16 VINTAGE RED CUTLERY,1403.79,126,7,2
2009-12-01,20828,GLITTER BUTTERFLY CLIPS,1401.32,606,41,31
2009-12-01,21477,STRING OF 20 ROSE LIGHTS,1393.86,107,38,30
2009-12-01,21980,PACK OF 12 RED SPOTTY TISSUES,1386.31,5363,44,30
2009-12-01,51008,AFGHAN SLIPPER SOCK PAIR,1383.5,430,15,10
2009-12-01,21929,JUMBO BAG PINK VINTAGE PAISLEY,1377.7,737,61,49
2009-12-01,85174,S/4 CACTI CANDLES,1353.49,285,35,16
2009-12-01,21967,PACK OF 12 SKULL TISSUES,1321.83,5247,7,2
2009-12-01,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1266.02,424,61,27
2009-12-01,21231,SWEETHEART CERAMIC TRINKET BOX,1263.93,837,62,41
2009-12-01,21107,CREAM SLICE FLANNEL PINK SPOT,1261.45,430,46,24
2009-12-01,47591D,PINK FAIRY CAKE CHILD'S APRON,1257.11,672,69,54
2009-12-01,84912B,GREEN ROSE WASHBAG,1256.81,613,8,6
2009-12-01,21981,PACK OF 12 WOODLAND TISSUES,1252.08,4878,27,16
2009-12-01,84912A,PINK ROSE WASHBAG,1245.56,610,7,5
2009-12-01,21218,RED SPOTTY BISCUIT TIN,1213.45,329,57,36
2009-12-01,21482,MUSHROOM BLUE HOT WATER BOTTLE,1210.25,383,74,43
2009-12-01,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1206.3600000000001,576,67,48
2009-12-01,21164,HOME SWEET HOME METAL SIGN,1201.76,437,33,26
2009-12-01,22197,"POPCORN HOLDER , SMALL",1194.7,1476,50,31
2009-12-01,21490,SET OF THREE 50'S GIFT WRAPS,1181.35,622,52,33
2009-12-01,21735,TWO DOOR CURIO CABINET,1171.11,90,28,15
2009-12-01,20750,RED/WHITE DOT MINI CASES,1167.75,153,53,46
2009-12-01,21041,RED SPOTTY OVEN GLOVE DOUBLE,1166.03,410,52,31
2009-12-01,84406B,CREAM CUPID HEARTS COAT HANGER,1138.62,372,39,35
2009-12-01,21984,PACK OF 12 PINK PAISLEY TISSUES,1131.22,4448,20,17
2009-12-01,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1129.95,622,43,36
2009-12-01,21706,"FOLDING UMBRELLA , RED/WHITE SPOT",1127.9,426,28,19
2009-12-01,21486,PINK HEART DOTS HOT WATER BOTTLE,1127.34,395,59,28
2009-12-01,22121,NOEL WOODEN BLOCK LETTERS,1126.0900000000001,187,47,36
2009-12-01,22273,FELTCRAFT DOLL MOLLY,1126.04,374,68,45
2009-12-01,20754,RETRO RED SPOTTY WASHING UP GLOVES,1119.74,545,76,44
2009-12-01,22178,VICTORIAN GLASS HANGING T-LIGHT,1109.36,844,58,41
2009-12-01,20727,LUNCH BAG BLACK SKULL.,1109.15,649,75,51
2009-12-01,21791,VINTAGE HEADS AND TAILS CARD GAME,1091.78,826,92,60
2009-12-01,21621,VINTAGE UNION JACK BUNTING,1089.05,125,40,35
2009-12-01,84949,SILVER HANGING T-LIGHT HOLDER,1083.11,673,46,32
2009-12-01,22348,TEA BAG PLATE RED SPOTTY,1078.55,1315,77,47
2009-12-01,20726,LUNCH BAG WOODLAND,1071.95,645,56,36
2009-12-01,85152,HAND OVER THE CHOCOLATE SIGN,1068.48,540,58,48
2009-12-01,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,1061.35,271,25,20
2009-12-01,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1060.3799999999999,103,38,31
2009-12-01,21100,CHARLIE AND LOLA CHARLOTTE BAG,1056.6200000000001,932,40,26
2009-12-01,48197,DOOR MAT BIRD ON THE WIRE,1052.2,210,22,14
2009-12-01,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,1051.0,121,46,30
2009-12-01,21737,SET 3 WICKER LOG BASKETS,1045.2,56,27,26
2009-12-01,21000,ROSE DU SUD COSMETICS BAG,1042.5,510,6,6
2009-12-01,21888,BINGO SET,1020.23,228,77,45
2009-12-01,20713,JUMBO BAG OWLS,1016.95,533,57,36
2009-12-01,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,1007.46,492,66,50
2009-12-01,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,1006.8,572,59,28
2009-12-01,21710,FOLDING UMBRELLA PINK/WHITE SPOT,1006.7299999999999,463,16,13
2009-12-01,22350,CAT BOWL,998.22,408,43,25
2009-12-01,21098,CHRISTMAS TOILET ROLL,997.4499999999999,437,24,8
2009-12-01,48129,DOOR MAT TOPIARY,995.86,198,30,24
2009-12-01,21832,CHOCOLATE CALCULATOR,993.3199999999999,568,54,28
2009-12-01,21912,VINTAGE SNAKES & LADDERS,989.67,222,69,41
2009-12-01,84991,60 TEATIME FAIRY CAKE CASES,988.1800000000001,1822,89,60
2009-12-01,21871,SAVE THE PLANET MUG,987.86,718,75,43
2009-12-01,22207,FRYING PAN UNION FLAG,977.8000000000001,172,59,35
2009-12-01,85132A,CHARLIE + LOLA BISCUITS TINS,972.75,176,22,16
2009-12-01,21784,SHOE SHINE BOX,972.15,67,32,13
2009-12-01,22061,LARGE CAKE STAND HANGING STRAWBERY,971.3499999999999,93,27,18
2009-12-01,82600,NO SINGING METAL SIGN,967.98,489,59,46
2009-12-01,22041,"RECORD FRAME 7"" SINGLE SIZE",967.33,443,14,7
2009-12-01,21257,VICTORIAN SEWING BOX MEDIUM,966.29,119,39,26
2009-12-01,85132C,CHARLIE AND LOLA FIGURES TINS,964.58,178,15,14
2009-12-01,22296,HEART IVORY TRELLIS LARGE,954.2199999999999,574,47,37
2009-12-01,85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,950.92,636,28,18
2009-12-01,79323G,GOLD CHERRY LIGHTS,947.01,151,30,24
2009-12-01,21539,RETRO SPOTS BUTTER DISH,943.96,180,52,32
2009-12-01,37502,TEA TIME MUG IN GIFT BOX,934.4300000000001,308,41,22
2009-12-01,84078A,SET/4 WHITE RETRO STORAGE CUBES,933.71,22,10,5
2009-12-01,84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,923.11,252,33,29
2009-12-01,79000,MOROCCAN TEA GLASS,922.39,931,39,17
2009-12-01,22352,LUNCHBOX WITH CUTLERY RETROSPOT,919.05,381,62,34
2009-12-01,22271,FELTCRAFT DOLL ROSIE,914.44,301,61,42
2009-12-01,22355,"CHARLOTTE BAG , SUKI DESIGN",909.25,900,75,43
2009-12-01,21535,RETRO SPOT SMALL MILK JUG,908.6999999999999,334,78,49
2009-12-01,22084,PAPER CHAIN KIT EMPIRE,908.6400000000001,318,34,29
2009-12-01,21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,907.8900000000001,321,28,19
2009-12-01,20979,36 PENCILS TUBE RED SPOTTY,907.71,707,61,36
2009-12-01,21868,POTTING SHED TEA MUG,904.3100000000001,713,77,44
2009-12-01,21480,PINK STRIPE HOT WATER BOTTLE,899.5200000000001,285,57,35
2009-12-01,20692,FLORAL ELEPHANT SOFT TOY,895.15,211,33,19
2009-12-01,85150,LADIES & GENTLEMEN METAL SIGN,895.04,342,55,38
2009-12-01,21777,RECIPE BOX WITH METAL HEART,893.55,109,35,25
2009-12-01,21042,RED SPOTTY APRON,893.1500000000001,143,38,23
2009-12-01,84992,72 SWEETHEART FAIRY CAKE CASES,886.3,1819,65,37
2009-12-01,22349,"DOG BOWL , CHASING BALL DESIGN",874.27,227,47,34
2009-12-01,21276,TWO EMBOSSED HEART MINI DRAWERS,869.8399999999999,419,19,16
2009-12-01,21935,SUKI SHOULDER BAG,867.3100000000001,421,56,24
2009-12-01,21533,RETRO SPOT LARGE MILK JUG,865.72,164,60,42
2009-12-01,21790,VINTAGE SNAP CARDS,861.04,914,96,61
2009-12-01,79323GR,GREEN CHERRY LIGHTS,854.69,143,18,14
2009-12-01,22147,FELTCRAFT BUTTERFLY HEARTS,853.5699999999999,589,63,44
2009-12-01,72045D,ROSES ON BLUE TEACUP CANDLE,851.76,504,1,1
2009-12-01,21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",845.07,169,35,19
2009-12-01,22072,TEA CUP AND SAUCER RETRO SPOT,841.35,176,49,25
2009-12-01,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,840.66,186,30,16
2009-12-01,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,840.65,685,36,28
2009-12-01,20749,ASSORTED COLOUR MINI CASES,837.33,115,36,29
2009-12-01,21590,KINGS CHOICE CIGAR BOX MATCHES,833.89,689,47,37
2009-12-01,20711,JUMBO BAG TOYS,833.15,482,29,22
2009-12-01,22295,HEART FILIGREE DOVE LARGE,832.7699999999999,495,51,43
2009-12-01,22297,HEART IVORY TRELLIS SMALL,829.46,634,42,27
2009-12-01,21174,POTTERING IN THE SHED METAL SIGN,823.6999999999999,384,55,34
2009-12-01,22082,RIBBON REEL STRIPES DESIGN,817.41,497,61,47
2009-12-01,22195,LARGE HEART MEASURING SPOONS,816.2199999999999,472,65,35
2009-12-01,21463,MIRRORED DISCO BALL,811.8000000000001,139,21,15
2009-12-01,20728,LUNCH BAG CARS BLUE,811.75,480,54,40
2009-12-01,82583,HOT BATHS METAL SIGN,809.6600000000001,399,42,28
2009-12-01,79320,FLAMINGO LIGHTS,802.75,163,25,15
2009-12-01,84970S,HANGING HEART ZINC T-LIGHT HOLDER,798.41,953,57,38
2009-12-01,21707,"FOLDING UMBRELLA , BLACK/BLUE SPOT",796.62,274,21,17
2009-12-01,70006,LOVE HEART POCKET WARMER,791.21,789,43,22
2009-12-01,20748,KENSINGTON COFFEE SET,790.08,122,26,21
2009-12-01,48188,DOOR MAT WELCOME PUPPIES,784.1999999999999,108,44,31
2009-12-01,22198,"POPCORN HOLDER , LARGE",780.89,461,37,20
2009-12-01,21930,JUMBO STORAGE BAG SKULLS,778.95,404,50,39
2009-12-01,20682,RED SPOTTY CHILDS UMBRELLA,771.6,223,43,29
2009-12-01,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,771.51,191,52,37
2009-12-01,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,768.66,782,50,32
2009-12-01,48184,DOOR MAT ENGLISH ROSE,768.61,119,29,22
2009-12-01,21842,PINK HEART CANDY BUTTON CALCULATOR,762.78,316,32,21
2009-12-01,21903,MAN FLU METAL SIGN,762.7,387,26,13
2009-12-01,22301,COFFEE MUG CAT + BIRD DESIGN,761.1,274,50,23
2009-12-01,22236,CAKE STAND 3 TIER MAGIC GARDEN,753.3599999999999,60,21,16
2009-12-01,84029C,BROWN FURRY HOT WATER BOTTLE,747.44,199,46,26
2009-12-01,20972,PINK CREAM FELT CRAFT TRINKET BOX,746.97,549,64,45
2009-12-01,22120,WELCOME WOODEN BLOCK LETTERS,745.31,69,27,18
2009-12-01,22215,CAKE STAND WHITE TWO TIER LACE,739.2,84,35,30
2009-12-01,21779,MA CAMPAGNE MINI WOODEN CHEST,737.3000000000001,233,17,16
2009-12-01,47502,POLKADOT CUTLERY 24 PCS IN TRAY,735.29,72,5,3
2009-12-01,20724,RED SPOTTY CHARLOTTE BAG,733.05,789,67,39
2009-12-01,84396,6 HOOK JEWELLERY STAND BLACK DRESS,732.64,280,27,16
2009-12-01,84937,KASHMIR FOLKART TUMBLERS,730.1800000000001,291,24,10
2009-12-01,21700,BIG DOUGHNUT FRIDGE MAGNETS,729.75,675,39,24
2009-12-01,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,727.18,284,46,31
2009-12-01,21213,PACK OF 72 SKULL CAKE CASES,723.15,1398,55,32
2009-12-01,84558A,3D DOG PICTURE PLAYING CARDS,720.3600000000001,240,28,22
2009-12-01,22179,SET 10 LIGHTS NIGHT OWL,717.72,100,28,19
2009-12-01,21844,RETRO SPOT MUG,717.33,225,35,24
2009-12-01,21407,BROWN CHECK CAT DOORSTOP,716.9,154,59,38
2009-12-01,21035,SET/2 RED SPOTTY TEA TOWELS,716.7,222,51,29
2009-12-01,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,713.2400000000001,364,32,22
2009-12-01,20966,SANDWICH BATH SPONGE,708.05,445,60,31
2009-12-01,21494,ROTATING LEAVES T-LIGHT HOLDER,707.82,536,32,16
2009-12-01,48195,DOOR MAT GREEN PAISLEY,703.49,151,17,15
2009-12-01,21432,SET OF 3 CASES WOODLAND DESIGN,700.3000000000001,118,31,27
2009-12-01,84375,SET OF 20 KIDS COOKIE CUTTERS,695.4499999999999,302,41,18
2009-12-01,85184D,S/4 BLUE ROUND DECOUPAGE BOXES,692.77,259,14,6
2009-12-01,21080,SET/20 RED SPOTTY PAPER NAPKINS,691.29,806,77,58
2009-12-01,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,690.88,262,55,31
2009-12-01,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,689.99,191,30,18
2009-12-01,22122,SET OF 2 FANCY FONT TEA TOWELS,689.87,215,42,25
2009-12-01,84854,GIRLY PINK TOOL SET,688.65,119,36,13
2009-12-01,21153,RED SPOTTY TABLECLOTH,685.6,54,23,11
2009-12-01,21889,WOODEN BOX OF DOMINOES,685.25,469,68,41
2009-12-01,21429,RED GINGHAM ROSE JEWELLERY BOX,682.61,385,76,48
2009-12-01,21136,PAINTED METAL PEARS ASSORTED,682.45,375,33,28
2009-12-01,22187,GREEN CHRISTMAS TREE CARD HOLDER,678.6,148,39,26
2009-12-01,21846,PINK DIAMANTE PEN IN GIFT BOX,677.45,431,32,16
2009-12-01,22300,COFFEE MUG DOG + BALL DESIGN,675.76,258,40,28
2009-12-01,37500,TEA TIME TEAPOT IN GIFT BOX,673.2099999999999,70,17,15
2009-12-01,21411,GINGHAM HEART DOORSTOP RED,671.45,177,45,31
2009-12-01,21833,CAMOUFLAGE LED TORCH,669.5,356,52,29
2009-12-01,22107,PIZZA PLATE IN BOX,666.46,157,43,20
2009-12-01,21877,HOME SWEET HOME MUG,662.62,542,48,33
2009-12-01,21977,PACK OF 60 PINK PAISLEY CAKE CASES,662.0500000000001,1195,69,41
2009-12-01,82582,AREA PATROLLED METAL SIGN,658.6800000000001,312,44,30
2009-12-01,21165,BEWARE OF THE CAT METAL SIGN,657.65,332,53,34
2009-12-01,21740,COSY SLIPPER SHOES LARGE RED,656.71,187,60,41
2009-12-01,22119,PEACE WOODEN BLOCK LETTERS,653.89,94,34,33
2009-12-01,37370,RETRO COFFEE MUGS ASSORTED,652.64,360,31,16
2009-12-01,22180,RETRO SPOT LAMP,651.9799999999999,65,24,22
2009-12-01,22073,RETRO SPOT STORAGE JAR,647.47,157,43,28
2009-12-01,21587,COSY HOUR GIANT TUBE MATCHES,643.9499999999999,261,37,30
2009-12-01,84968C,S/16 VINTAGE PISTACHIO CUTLERY,640.8899999999999,56,6,5
2009-12-01,84884A,ANT WHITE WIRE HEART SPIRAL,634.3000000000001,156,31,20
2009-12-01,85049A,TRADITIONAL CHRISTMAS RIBBONS,633.56,472,68,50
2009-12-01,22110,BIRD HOUSE HOT WATER BOTTLE,633.49,328,37,24
2009-12-01,21732,RED HANGING METAL STAR TLIGHT HLDR,632.35,176,22,21
2009-12-01,37448,CERAMIC CAKE DESIGN SPOTTED MUG,629.62,408,49,28
2009-12-01,90062,CARNIVAL BRACELET,628.11,49,20,9
2009-12-01,22090,PAPER BUNTING RETRO SPOTS,624.85,212,30,27
2009-12-01,21210,SET OF 72 RETRO SPOT PAPER DOILIES,624.05,392,50,31
2009-12-01,22200,FRYING PAN PINK POLKADOT,622.0,136,30,16
2009-12-01,21711,FOLDING UMBRELLA WHITE/RED SPOT,621.08,196,11,9
2009-12-01,84813,SET OF 4 DIAMOND NAPKIN RINGS,620.9000000000001,126,14,12
2009-12-01,84922,PINK BUTTERFLY WASHBAG,617.3,302,3,1
2009-12-01,22130,PARTY CONE CHRISTMAS DECORATION,617.05,625,45,33
2009-12-01,21563,RED HEART SHAPE LOVE BUCKET,612.96,228,10,7
2009-12-01,21708,FOLDING UMBRELLA CREAM/MULTI SPOT,609.01,235,17,12
2009-12-01,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,603.41,156,35,24
2009-12-01,20681,PINK SPOTTY CHILDS UMBRELLA,603.4,178,34,23
2009-12-01,85114C,RED ENCHANTED FOREST PLACEMAT,600.13,217,23,7
2009-12-01,72351B,SET/6 PINK BUTTERFLY T-LIGHTS,597.16,302,34,25
2009-12-01,22303,COFFEE MUG APPLES DESIGN,596.15,235,32,22
2009-12-01,84978,HANGING HEART JAR T-LIGHT HOLDER,595.59,465,37,20
2009-12-01,82552,WASHROOM METAL SIGN,594.6600000000001,510,32,22
2009-12-01,22283,6 EGG HOUSE PAINTED WOOD,594.58,65,27,17
2009-12-01,47566,PARTY BUNTING,592.7,118,29,20
2009-12-01,37446,MINI CAKE STAND WITH HANGING CAKES,590.65,361,46,24
2009-12-01,21390,FILIGRIS HEART WITH BUTTERFLY,589.5200000000001,508,19,14
2009-12-01,21781,MA CAMPAGNE CUTLERY BOX,583.34,34,20,12
2009-12-01,22150,3 STRIPEY MICE FELTCRAFT,575.35,289,57,39
2009-12-01,20718,RED SPOTTY SHOPPER BAG,573.59,435,53,28
2009-12-01,21756,BATH BUILDING BLOCK WORD,573.0400000000001,88,44,33
2009-12-01,20751,FUNKY WASHING UP GLOVES ASSORTED,571.8000000000001,266,37,26
2009-12-01,85065,CREAM SWEETHEART TRAYS,570.91,45,21,16
2009-12-01,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,570.6,256,28,19
2009-12-01,47591C,BLUE FAIRY CAKE CHILD'S APRON,570.15,301,43,36
2009-12-01,21770,OPEN CLOSED METAL SIGN,569.78,118,40,35
2009-12-01,37501,TEA TIME TEA SET IN GIFT BOX,569.6700000000001,73,24,15
2009-12-01,21259,VICTORIAN SEWING BOX SMALL,567.45,93,39,36
2009-12-01,47556B,TEA TIME TEA TOWELS,564.4300000000001,184,39,29
2009-12-01,21780,MA CAMPAGNE 4 DRAWER WALL SHELF,563.9300000000001,79,14,12
2009-12-01,21040,MODERN VINTAGE COTTON SHOPPING BAG,561.35,599,13,8
2009-12-01,48173C,DOOR MAT BLACK FLOCK,559.91,85,27,25
2009-12-01,22274,FELTCRAFT DOLL EMILY,559.12,178,44,30
2009-12-01,21581,SKULLS DESIGN COTTON TOTE BAG,558.08,540,23,13
2009-12-01,20714,POSY SHOPPER BAG,557.21,1417,15,9
2009-12-01,22079,RIBBON REEL HEARTS DESIGN,555.71,333,41,27
2009-12-01,22302,COFFEE MUG PEARS DESIGN,555.28,220,30,21
2009-12-01,85034A,3 GARDENIA MORRIS BOXED CANDLES,555.25,141,9,7
2009-12-01,35001W,HAND OPEN SHAPE DECO.WHITE,555.01,181,33,14
2009-12-01,20719,WOODLAND CHARLOTTE BAG,554.4,620,53,26
