invoice_no,invoice_date,customer_id,country,order_value_gbp,units,product_lines,distinct_products
489557,2009-12-01 12:52:00,12490,France,603.94,442,21,21
489558,2009-12-01 12:54:00,15793,United Kingdom,291.58000000000004,154,4,4
489559,2009-12-01 12:55:00,17056,United Kingdom,128.60000000000002,26,8,8
489560,2009-12-01 12:56:00,13526,United Kingdom,859.0999999999999,1585,30,26
489561,2009-12-01 12:57:00,14654,United Kingdom,246.86,273,27,27
489562,2009-12-01 13:07:00,17998,United Kingdom,229.6,107,39,39
489564,2009-12-01 13:13:00,13526,United Kingdom,322.9,326,14,11
489566,2009-12-01 13:16:00,17742,United Kingdom,218.54999999999998,35,8,8
489567,2009-12-01 13:19:00,15326,United Kingdom,307.8,150,20,20
489569,2009-12-01 13:20:00,14478,United Kingdom,282.28,312,18,18
489571,2009-12-01 13:29:00,15967,United Kingdom,156.71,50,30,30
489572,2009-12-01 13:29:00,17611,United Kingdom,507.49,273,83,83
489573,2009-12-01 13:29:00,15051,United Kingdom,580.02,306,32,32
489574,2009-12-01 13:31:00,13097,United Kingdom,544.73,309,64,63
489575,2009-12-01 13:37:00,13590,United Kingdom,367.28000000000003,300,22,22
489576,2009-12-01 13:38:00,15984,United Kingdom,319.66,178,17,17
489579,2009-12-01 13:41:00,16887,United Kingdom,219.82,177,34,34
489580,2009-12-01 13:43:00,12921,United Kingdom,261.0,276,8,8
489581,2009-12-01 13:47:00,15945,United Kingdom,124.83000000000001,137,10,10
489582,2009-12-01 13:47:00,14543,United Kingdom,293.95,125,9,9
489584,2009-12-01 13:48:00,18037,United Kingdom,21.95,1,1,1
489585,2009-12-01 13:49:00,15662,United Kingdom,105.85,67,4,4
489586,2009-12-01 13:50:00,15380,United Kingdom,263.42,98,6,6
489590,2009-12-01 14:14:00,13110,United Kingdom,362.78000000000003,87,27,27
489593,2009-12-01 14:19:00,12836,United Kingdom,407.97,93,29,29
489594,2009-12-01 14:19:00,15005,United Kingdom,319.38,180,50,46
489596,2009-12-01 14:27:00,,United Kingdom,17.0,2,1,1
489597,2009-12-01 14:28:00,,United Kingdom,5097.82,972,502,501
489598,2009-12-01 14:35:00,16620,United Kingdom,822.37,575,50,50
489599,2009-12-01 14:40:00,12758,Portugal,2454.68,1403,79,79
489600,2009-12-01 14:43:00,,United Kingdom,420.29,39,31,31
489601,2009-12-01 14:44:00,,United Kingdom,337.2,36,26,26
489602,2009-12-01 14:45:00,,United Kingdom,440.07,42,33,33
489603,2009-12-01 14:46:00,,United Kingdom,311.55,29,21,21
489604,2009-12-01 14:47:00,,United Kingdom,383.87,40,25,25
489606,2009-12-01 14:48:00,17961,United Kingdom,2.1,1,1,1
489607,2009-12-01 14:49:00,,United Kingdom,446.98,52,39,39
489608,2009-12-01 14:49:00,,United Kingdom,9.75,5,1,1
489609,2009-12-01 14:50:00,,United Kingdom,553.78,51,37,37
489611,2009-12-01 14:53:00,15601,United Kingdom,2.95,1,1,1
489612,2009-12-01 14:55:00,,United Kingdom,629.78,63,41,41
489613,2009-12-01 14:56:00,13585,United Kingdom,12.75,1,1,1
489614,2009-12-01 14:56:00,,United Kingdom,408.85,42,26,26
489615,2009-12-01 14:56:00,,United Kingdom,499.36,47,22,22
489616,2009-12-01 14:58:00,,United Kingdom,409.27,50,23,23
489617,2009-12-01 14:59:00,13442,United Kingdom,198.0,42,16,16
489618,2009-12-01 14:59:00,,United Kingdom,6.35,1,1,1
489619,2009-12-01 15:02:00,,United Kingdom,19.5,10,5,5
489634,2009-12-01 15:19:00,13381,United Kingdom,17.4,12,1,1
489635,2009-12-01 15:26:00,16763,United Kingdom,352.85,173,21,21
489637,2009-12-01 15:36:00,17243,United Kingdom,535.9,157,20,20
489638,2009-12-01 15:42:00,,United Kingdom,7.5,2,1,1
489639,2009-12-01 16:05:00,14865,United Kingdom,31.200000000000003,48,1,1
489640,2009-12-01 16:17:00,17345,United Kingdom,329.90999999999997,600,27,26
489641,2009-12-01 16:18:00,13819,United Kingdom,622.1,462,30,30
489642,2009-12-01 16:19:00,,United Kingdom,12.850000000000001,3,3,3
489644,2009-12-01 16:30:00,15808,United Kingdom,857.5400000000001,297,25,24
489645,2009-12-01 16:34:00,17191,United Kingdom,261.74,97,32,32
489650,2009-12-01 16:44:00,13748,United Kingdom,173.1,90,7,7
489652,2009-12-01 17:08:00,15265,United Kingdom,294.14,146,17,17
489653,2009-12-01 17:08:00,,United Kingdom,60.78,26,13,13
489654,2009-12-01 17:19:00,15750,United Kingdom,222.12,115,30,30
489656,2009-12-01 17:28:00,17428,United Kingdom,1237.3,401,22,22
489657,2009-12-01 17:28:00,17428,United Kingdom,55.2,32,3,3
489658,2009-12-01 17:31:00,15485,United Kingdom,828.09,249,21,21
489661,2009-12-01 17:45:00,17246,United Kingdom,23.48,34,4,4
489662,2009-12-01 17:50:00,15485,United Kingdom,73.75,25,1,1
489664,2009-12-01 18:03:00,14061,United Kingdom,374.43,57,11,11
489665,2009-12-01 18:07:00,14108,United Kingdom,252.3,118,10,10
489666,2009-12-01 18:13:00,13648,United Kingdom,263.09000000000003,203,15,15
489667,2009-12-01 18:35:00,16563,United Kingdom,538.46,221,10,10
489668,2009-12-01 19:19:00,16701,United Kingdom,378.12,198,8,8
489669,2009-12-02 08:15:00,12842,United Kingdom,397.20000000000005,168,3,3
489670,2009-12-02 08:16:00,14302,United Kingdom,114.60000000000001,28,2,2
489671,2009-12-02 08:58:00,14135,United Kingdom,740.3,966,8,8
489672,2009-12-02 09:21:00,14831,United Kingdom,772.65,421,32,32
489673,2009-12-02 09:23:00,14831,United Kingdom,61.099999999999994,34,4,4
489674,2009-12-02 09:35:00,15602,United Kingdom,261.3,266,17,17
489675,2009-12-02 09:47:00,13777,United Kingdom,4939.22,1930,22,22
489676,2009-12-02 09:49:00,13777,United Kingdom,1210.8,840,5,5
489677,2009-12-02 09:50:00,14000,United Kingdom,192.0,48,2,2
489678,2009-12-02 09:57:00,16823,United Kingdom,189.29999999999998,113,20,20
489679,2009-12-02 10:00:00,16163,United Kingdom,795.98,280,42,42
489680,2009-12-02 10:02:00,17193,United Kingdom,45.0,36,1,1
489681,2009-12-02 10:02:00,17998,United Kingdom,89.59,183,11,11
489682,2009-12-02 10:08:00,15759,United Kingdom,125.73,303,4,4
489683,2009-12-02 10:09:00,16131,United Kingdom,1317.97,721,46,46
489684,2009-12-02 10:15:00,14560,United Kingdom,266.6,116,9,9
489687,2009-12-02 10:41:00,17087,United Kingdom,221.53,113,12,12
489688,2009-12-02 10:42:00,14894,United Kingdom,299.70000000000005,54,3,3
489695,2009-12-02 10:48:00,16202,United Kingdom,306.95,121,15,15
489699,2009-12-02 10:51:00,16700,United Kingdom,401.7,238,25,25
489702,2009-12-02 10:52:00,17511,United Kingdom,3108.64,2020,30,30
489705,2009-12-02 10:52:00,16700,United Kingdom,17.0,4,1,1
489723,2009-12-02 10:58:00,14299,United Kingdom,2052.12,1339,26,26
489725,2009-12-02 11:07:00,17949,United Kingdom,216.0,300,1,1
489726,2009-12-02 11:07:00,17949,United Kingdom,750.0,200,1,1
489727,2009-12-02 11:09:00,17949,United Kingdom,900.0,450,1,1
489728,2009-12-02 11:18:00,14799,United Kingdom,180.45,349,10,10
489733,2009-12-02 11:20:00,15311,United Kingdom,168.0,48,2,2
489743,2009-12-02 11:24:00,16550,United Kingdom,538.77,320,33,33
489748,2009-12-02 11:26:00,12980,United Kingdom,754.2,84,3,3
489764,2009-12-02 11:31:00,14425,United Kingdom,223.1,82,14,14
489765,2009-12-02 11:33:00,15353,United Kingdom,271.74,88,38,38
489766,2009-12-02 11:34:00,17818,United Kingdom,124.78,86,42,42
489780,2009-12-02 11:43:00,13654,United Kingdom,159.98000000000002,90,8,8
489782,2009-12-02 11:45:00,17189,United Kingdom,228.36,147,21,21
489783,2009-12-02 11:47:00,13269,United Kingdom,162.04,152,7,7
489784,2009-12-02 11:48:00,13269,United Kingdom,40.8,48,4,4
489785,2009-12-02 11:51:00,14653,United Kingdom,333.09000000000003,248,19,19
489786,2009-12-02 11:52:00,17019,United Kingdom,212.66,197,42,39
489787,2009-12-02 11:53:00,15542,United Kingdom,293.19,116,65,63
489788,2009-12-02 11:55:00,13564,United Kingdom,119.16,38,17,17
489789,2009-12-02 11:59:00,15833,United Kingdom,80.4,24,5,5
489790,2009-12-02 11:59:00,16467,United Kingdom,131.12,88,2,2
489791,2009-12-02 12:06:00,15542,United Kingdom,216.59,87,62,62
489792,2009-12-02 12:06:00,14527,United Kingdom,923.79,165,58,58
489793,2009-12-02 12:09:00,17476,United Kingdom,260.36,124,16,16
489794,2009-12-02 12:13:00,15287,United Kingdom,58.2,55,4,4
489795,2009-12-02 12:13:00,14440,United Kingdom,935.01,287,13,13
489796,2009-12-02 12:15:00,15680,United Kingdom,311.5,268,19,19
489797,2009-12-02 12:19:00,15581,United Kingdom,196.88,141,25,25
489798,2009-12-02 12:22:00,13740,United Kingdom,296.69,93,19,19
489800,2009-12-02 12:26:00,17768,United Kingdom,382.57,502,31,31
489801,2009-12-02 12:28:00,12948,United Kingdom,128.48000000000002,144,6,6
489802,2009-12-02 12:32:00,15581,United Kingdom,174.52,156,45,44
489804,2009-12-02 12:38:00,14667,United Kingdom,251.17000000000002,185,16,15
489805,2009-12-02 12:39:00,17377,United Kingdom,454.35,227,46,46
489807,2009-12-02 12:43:00,15581,United Kingdom,180.13,241,28,27
489808,2009-12-02 12:44:00,14467,United Kingdom,109.84,82,17,17
489809,2009-12-02 12:46:00,13457,United Kingdom,112.5,68,6,6
489810,2009-12-02 12:47:00,18108,United Kingdom,493.25,165,26,26
489811,2009-12-02 12:54:00,16210,United Kingdom,634.29,515,9,9
489812,2009-12-02 13:00:00,17377,United Kingdom,597.6899999999999,85,25,25
489814,2009-12-02 13:06:00,14669,United Kingdom,811.53,503,86,84
489815,2009-12-02 13:10:00,17909,United Kingdom,110.05,35,8,8
489816,2009-12-02 13:20:00,16086,United Kingdom,284.55,258,27,27
489817,2009-12-02 13:22:00,16711,United Kingdom,340.2,132,3,3
489818,2009-12-02 13:23:00,16233,United Kingdom,294.3,102,14,14
489819,2009-12-02 13:23:00,14739,United Kingdom,618.4300000000001,465,13,13
489822,2009-12-02 13:26:00,14204,United Kingdom,371.27000000000004,103,54,54
489823,2009-12-02 13:32:00,17606,United Kingdom,87.30000000000001,42,6,6
489824,2009-12-02 13:33:00,16797,United Kingdom,176.88,127,44,44
489825,2009-12-02 13:34:00,16126,United Kingdom,174.1,94,10,10
489826,2009-12-02 13:39:00,17867,United Kingdom,85.95,17,10,10
489827,2009-12-02 13:51:00,17412,United Kingdom,445.7,382,23,23
489829,2009-12-02 13:53:00,16525,United Kingdom,472.47,237,8,8
489830,2009-12-02 13:57:00,13623,United Kingdom,628.14,240,67,62
489831,2009-12-02 13:58:00,12435,Denmark,1008.0,480,1,1
489832,2009-12-02 14:06:00,14549,United Kingdom,313.27,121,54,54
489833,2009-12-02 14:09:00,14980,United Kingdom,150.68,79,24,24
489834,2009-12-02 14:09:00,14106,United Kingdom,214.79999999999998,24,1,1
489835,2009-12-02 14:15:00,15061,United Kingdom,714.0,280,2,2
489837,2009-12-02 14:21:00,14396,United Kingdom,507.47,268,46,43
489840,2009-12-02 14:22:00,14122,United Kingdom,89.69999999999999,6,1,1
489855,2009-12-02 14:34:00,16987,United Kingdom,157.91,56,29,28
489856,2009-12-02 14:36:00,,United Kingdom,4463.74,817,426,425
489857,2009-12-02 14:43:00,,United Kingdom,5741.96,1226,516,516
489861,2009-12-02 14:50:00,,United Kingdom,46.07,33,6,6
489862,2009-12-02 14:52:00,17809,United Kingdom,734.7,150,4,4
489863,2009-12-02 14:55:00,15917,United Kingdom,66.82,21,18,18
489864,2009-12-02 14:56:00,14987,United Kingdom,206.85,79,3,3
489865,2009-12-02 15:01:00,14080,United Kingdom,234.87,53,18,18
489866,2009-12-02 15:04:00,16200,United Kingdom,987.73,577,115,109
489867,2009-12-02 15:08:00,,United Kingdom,118.95,45,12,12
489868,2009-12-02 15:10:00,15794,United Kingdom,675.0,248,14,14
489869,2009-12-02 15:15:00,16200,United Kingdom,39.980000000000004,27,17,17
489870,2009-12-02 15:16:00,15523,United Kingdom,162.1,118,3,3
489871,2009-12-02 15:17:00,15523,United Kingdom,735.7,274,5,5
489872,2009-12-02 15:28:00,15615,United Kingdom,632.9,320,22,22
489873,2009-12-02 15:29:00,15615,United Kingdom,10.2,12,1,1
489874,2009-12-02 15:38:00,18001,United Kingdom,176.6,144,12,12
489875,2009-12-02 15:41:00,17841,United Kingdom,525.71,217,93,92
489876,2009-12-02 15:44:00,15917,United Kingdom,39.85,22,18,18
489877,2009-12-02 15:44:00,13089,United Kingdom,368.1,162,4,4
489878,2009-12-02 15:51:00,15989,United Kingdom,140.16,55,37,36
489879,2009-12-02 16:02:00,17660,United Kingdom,163.47,138,44,42
489880,2009-12-02 16:18:00,13313,United Kingdom,380.28000000000003,552,22,22
489883,2009-12-02 16:24:00,12437,France,578.28,263,27,27
489884,2009-12-02 16:24:00,13313,United Kingdom,3.61,19,1,1
489888,2009-12-02 16:49:00,14841,United Kingdom,597.4,660,26,26
489889,2009-12-02 16:52:00,14646,Netherlands,4734.24,3200,20,20
489890,2009-12-02 16:53:00,14646,Netherlands,976.8,592,3,3
489891,2009-12-02 16:59:00,15482,United Kingdom,181.08,144,6,6
489892,2009-12-02 17:02:00,,United Kingdom,39.8,4,2,2
489893,2009-12-02 17:06:00,16156,United Kingdom,300.1,98,9,9
489894,2009-12-02 17:18:00,17716,United Kingdom,520.2,396,27,27
489895,2009-12-03 07:25:00,12779,Poland,371.82,266,22,22
489896,2009-12-03 07:57:00,13611,United Kingdom,337.93,227,20,20
489897,2009-12-03 09:10:00,15255,United Kingdom,260.44,176,13,13
489900,2009-12-03 09:44:00,14771,United Kingdom,287.37,253,19,19
489902,2009-12-03 09:52:00,14838,United Kingdom,119.10000000000001,18,4,4
489904,2009-12-03 10:02:00,13979,United Kingdom,203.78,150,13,13
489905,2009-12-03 10:03:00,13800,United Kingdom,478.7,242,19,19
489906,2009-12-03 10:16:00,14483,United Kingdom,120.0,96,4,4
489907,2009-12-03 10:17:00,14915,United Kingdom,202.06,104,11,11
489908,2009-12-03 10:20:00,16301,United Kingdom,107.33,41,6,6
489909,2009-12-03 10:20:00,13753,United Kingdom,642.2,428,16,16
489910,2009-12-03 10:23:00,15482,United Kingdom,144.0,288,1,1
489912,2009-12-03 10:26:00,13931,United Kingdom,1146.1000000000001,578,58,58
489913,2009-12-03 10:28:00,13931,United Kingdom,69.6,16,3,3
489914,2009-12-03 10:28:00,12921,United Kingdom,993.0,508,29,29
489915,2009-12-03 10:37:00,17035,United Kingdom,54.599999999999994,36,2,2
489916,2009-12-03 10:37:00,15194,United Kingdom,336.0,212,9,9
489932,2009-12-03 10:49:00,14347,United Kingdom,82.6,48,6,6
489935,2009-12-03 10:51:00,12934,United Kingdom,181.65,31,2,2
489994,2009-12-03 11:09:00,15291,United Kingdom,430.9,142,4,4
489996,2009-12-03 11:10:00,17209,United Kingdom,320.40000000000003,514,5,5
489998,2009-12-03 11:19:00,15658,United Kingdom,321.65,93,17,17
489999,2009-12-03 11:25:00,17314,United Kingdom,154.2,72,7,7
490000,2009-12-03 11:34:00,17155,United Kingdom,143.06,89,12,12
490001,2009-12-03 11:45:00,15965,United Kingdom,169.5,94,2,2
490002,2009-12-03 11:46:00,17322,United Kingdom,114.55,115,28,28
490003,2009-12-03 11:51:00,16159,United Kingdom,317.55,163,12,12
490004,2009-12-03 11:53:00,14051,United Kingdom,912.5600000000001,224,9,9
490005,2009-12-03 11:57:00,13993,United Kingdom,556.75,203,25,25
490006,2009-12-03 12:02:00,17411,United Kingdom,344.40000000000003,150,19,19
490008,2009-12-03 12:10:00,15768,United Kingdom,502.28,256,63,63
490009,2009-12-03 12:13:00,12835,United Kingdom,285.09,100,31,29
490010,2009-12-03 12:15:00,15061,United Kingdom,1008.0,480,1,1
490011,2009-12-03 12:27:00,16918,United Kingdom,221.69,138,43,43
490012,2009-12-03 12:27:00,15179,United Kingdom,763.35,339,27,27
490013,2009-12-03 12:27:00,17069,United Kingdom,500.55,395,33,33
490014,2009-12-03 12:28:00,15466,United Kingdom,740.46,406,92,91
490017,2009-12-03 12:31:00,14159,United Kingdom,393.65,267,99,97
490018,2009-12-03 12:31:00,17940,United Kingdom,4380.0,17520,4,4
490019,2009-12-03 12:34:00,17581,United Kingdom,308.6,116,15,15
490020,2009-12-03 12:36:00,17581,United Kingdom,37.8,14,3,3
490021,2009-12-03 12:36:00,17581,United Kingdom,10.2,12,1,1
490022,2009-12-03 12:37:00,17581,United Kingdom,45.60000000000001,24,3,3
490023,2009-12-03 12:38:00,16168,United Kingdom,189.15,49,4,4
490024,2009-12-03 12:40:00,14606,United Kingdom,215.0,121,49,48
490030,2009-12-03 12:44:00,,United Kingdom,58.2,12,2,2
490034,2009-12-03 12:45:00,17287,United Kingdom,69.82,30,11,11
490045,2009-12-03 12:50:00,17287,United Kingdom,180.39,109,22,22
490046,2009-12-03 13:02:00,13416,United Kingdom,228.3,66,7,7
490047,2009-12-03 13:02:00,17913,United Kingdom,263.85,131,28,27
490048,2009-12-03 13:03:00,16779,United Kingdom,1146.71,681,35,34
490049,2009-12-03 13:04:00,15794,United Kingdom,102.0,40,1,1
490050,2009-12-03 13:05:00,17913,United Kingdom,13.5,2,1,1
490052,2009-12-03 13:09:00,13895,United Kingdom,831.0,408,42,42
490053,2009-12-03 13:17:00,14057,United Kingdom,119.54,101,17,17
490054,2009-12-03 13:22:00,17017,United Kingdom,277.5,186,7,7
490056,2009-12-03 13:25:00,13208,United Kingdom,61.12,56,16,16
490057,2009-12-03 13:25:00,17465,United Kingdom,360.52,184,20,20
490058,2009-12-03 13:26:00,17465,United Kingdom,47.85,27,2,2
490059,2009-12-03 13:30:00,18102,United Kingdom,14475.0,4825,9,9
490060,2009-12-03 13:32:00,13468,United Kingdom,314.22,148,17,17
490061,2009-12-03 13:42:00,18102,United Kingdom,4000.0,2000,4,4
490062,2009-12-03 13:46:00,13485,United Kingdom,165.3,86,8,8
490063,2009-12-03 13:49:00,17271,United Kingdom,204.3,113,48,46
490064,2009-12-03 13:51:00,16139,United Kingdom,355.59000000000003,215,19,19
490065,2009-12-03 13:58:00,15061,United Kingdom,1260.0,600,1,1
490066,2009-12-03 14:00:00,15953,United Kingdom,372.2,212,7,7
490067,2009-12-03 14:02:00,15856,United Kingdom,952.61,412,24,24
490068,2009-12-03 14:06:00,13085,United Kingdom,284.3,90,9,9
490069,2009-12-03 14:07:00,13085,United Kingdom,161.39999999999998,60,5,5
490070,2009-12-03 14:07:00,14967,United Kingdom,236.25,68,5,5
490071,2009-12-03 14:11:00,16497,United Kingdom,294.85,111,19,19
490072,2009-12-03 14:28:00,17764,United Kingdom,187.15,69,29,29
490073,2009-12-03 14:36:00,14905,United Kingdom,258.1,172,13,13
490074,2009-12-03 14:39:00,,United Kingdom,6500.63,1200,580,578
490075,2009-12-03 14:42:00,18229,United Kingdom,381.0,84,4,4
490077,2009-12-03 15:09:00,17293,United Kingdom,115.50999999999999,65,6,6
490078,2009-12-03 15:09:00,17853,United Kingdom,584.35,159,29,28
490079,2009-12-03 15:15:00,15550,United Kingdom,160.35,85,10,10
490080,2009-12-03 15:20:00,13531,United Kingdom,311.7,126,15,15
490081,2009-12-03 15:32:00,13786,United Kingdom,723.09,323,20,20
490082,2009-12-03 15:34:00,14952,United Kingdom,337.9,262,7,7
490083,2009-12-03 15:35:00,14031,United Kingdom,2506.14,1132,61,61
490085,2009-12-03 15:43:00,12937,United Kingdom,170.06,108,15,15
490086,2009-12-03 15:48:00,17949,United Kingdom,799.2,432,1,1
490087,2009-12-03 15:49:00,15601,United Kingdom,898.1800000000001,668,51,51
490088,2009-12-03 15:50:00,15581,United Kingdom,17.0,2,2,2
490089,2009-12-03 15:52:00,17949,United Kingdom,466.20000000000005,252,1,1
490090,2009-12-03 15:53:00,15581,United Kingdom,41.18,23,15,15
490091,2009-12-03 15:54:00,17949,United Kingdom,636.0,600,1,1
490092,2009-12-03 15:54:00,16612,United Kingdom,510.87,297,23,23
490093,2009-12-03 15:56:00,12949,United Kingdom,1794.7,896,64,64
490094,2009-12-03 15:56:00,17949,United Kingdom,851.76,504,1,1
490095,2009-12-03 16:02:00,14958,United Kingdom,186.36,54,12,12
490097,2009-12-03 16:09:00,17329,United Kingdom,273.52,144,35,35
490099,2009-12-03 16:12:00,16736,United Kingdom,1225.98,526,74,74
490100,2009-12-03 16:21:00,13001,United Kingdom,869.9300000000001,403,83,83
490101,2009-12-03 16:24:00,14644,United Kingdom,338.5,150,11,11
490106,2009-12-03 16:40:00,14898,United Kingdom,314.37,275,20,20
490107,2009-12-03 16:47:00,14662,United Kingdom,110.69999999999999,30,8,8
490108,2009-12-03 16:49:00,17414,United Kingdom,239.68,444,5,5
490109,2009-12-03 16:51:00,14755,United Kingdom,415.0,204,20,20
490110,2009-12-03 16:52:00,14755,United Kingdom,30.15,13,2,2
490111,2009-12-03 16:54:00,17576,United Kingdom,319.96000000000004,220,30,29
490112,2009-12-03 17:04:00,13037,United Kingdom,313.19,161,20,20
490113,2009-12-03 17:12:00,14710,United Kingdom,39.2,16,11,11
490114,2009-12-03 17:29:00,18168,United Kingdom,257.62,160,22,21
490115,2009-12-03 17:32:00,17679,United Kingdom,342.6,316,12,12
490116,2009-12-03 17:33:00,17679,United Kingdom,122.39999999999999,48,4,4
490118,2009-12-03 17:46:00,17851,United Kingdom,317.04,151,47,46
490119,2009-12-03 17:48:00,12931,United Kingdom,108.75,75,1,1
490121,2009-12-03 17:57:00,14750,United Kingdom,112.03,65,32,32
490124,2009-12-03 18:08:00,16791,United Kingdom,304.92,106,43,43
490125,2009-12-03 18:11:00,16558,United Kingdom,297.05,109,9,9
490127,2009-12-03 18:13:00,14156,EIRE,569.1800000000001,203,33,33
490128,2009-12-03 18:23:00,15884,United Kingdom,236.70000000000002,150,13,13
490132,2009-12-03 18:30:00,17343,United Kingdom,197.3,89,12,12
490134,2009-12-03 18:41:00,17372,United Kingdom,151.65,59,25,25
490135,2009-12-03 18:51:00,16003,United Kingdom,387.87,127,18,18
490136,2009-12-03 19:13:00,17432,United Kingdom,159.95,69,39,39
490137,2009-12-03 19:22:00,14713,United Kingdom,160.69,104,21,21
490138,2009-12-03 19:23:00,16722,United Kingdom,339.78,198,14,14
490139,2009-12-03 19:31:00,12577,France,210.55,79,13,13
490140,2009-12-03 20:03:00,12872,United Kingdom,407.22,227,43,42
490141,2009-12-04 08:24:00,15755,United Kingdom,308.75,158,18,18
490142,2009-12-04 08:36:00,14258,United Kingdom,1261.0,356,14,14
490143,2009-12-04 08:40:00,14286,United Kingdom,1610.52,1687,76,76
490144,2009-12-04 08:46:00,13154,United Kingdom,337.1,152,18,18
490145,2009-12-04 09:27:00,14564,Channel Islands,989.18,439,39,39
490147,2009-12-04 09:31:00,13408,United Kingdom,510.64,472,8,8
490149,2009-12-04 09:43:00,,United Kingdom,6529.11,1214,559,557
490151,2009-12-04 09:49:00,16645,United Kingdom,160.39,117,14,14
490152,2009-12-04 10:00:00,12714,France,682.65,238,29,29
490154,2009-12-04 10:18:00,16335,United Kingdom,288.79,110,48,46
490156,2009-12-04 10:32:00,13093,United Kingdom,455.36,262,6,6
490157,2009-12-04 10:39:00,16736,United Kingdom,138.0,40,1,1
490158,2009-12-04 10:47:00,12759,Netherlands,508.26,281,22,22
490159,2009-12-04 10:48:00,13666,United Kingdom,19.5,2,2,2
490160,2009-12-04 10:52:00,13777,United Kingdom,244.79999999999998,96,1,1
490161,2009-12-04 10:57:00,17160,United Kingdom,825.94,653,59,59
490162,2009-12-04 11:07:00,13946,United Kingdom,280.2,206,26,26
490163,2009-12-04 11:22:00,14723,United Kingdom,141.63,115,17,17
490164,2009-12-04 11:32:00,14961,United Kingdom,1058.4,632,41,41
490166,2009-12-04 11:32:00,14735,United Kingdom,371.85,175,12,12
490167,2009-12-04 11:36:00,18061,United Kingdom,312.21,241,8,8
490171,2009-12-04 11:54:00,15581,United Kingdom,29.28,32,5,5
490177,2009-12-04 11:56:00,,United Kingdom,18.0,4,2,2
490186,2009-12-04 11:59:00,,United Kingdom,3.75,1,1,1
