stock_code,returned_units,signed_return_value_gbp,return_invoices,description,absolute_return_value_gbp
23203,590,-1076.4,17,JUMBO BAG VINTAGE DOILY,1076.4
23201,594,-1076.02,14,JUMBO BAG ALPHABET,1076.02
15056BL,213,-1071.3500000000001,12,EDWARDIAN PARASOL BLACK,1071.3500000000001
20914,440,-1068.8,85,SET/5 RED RETROSPOT LID GLASS BOWLS,1068.8
82482,513,-1068.15,31,WOODEN PICTURE FRAME WHITE FINISH,1068.15
22199,283,-1066.75,7,FRYING PAN RED RETROSPOT,1066.75
85063,82,-1060.7,39,CREAM SWEETHEART MAGAZINE RACK,1060.7
22061,114,-1060.35,63,LARGE CAKE STAND HANGING STRAWBERY,1060.35
51008,925,-1054.05,8,AFGHAN SLIPPER SOCK PAIR,1054.05
23170,718,-1046.3,12,REGENCY TEA PLATE ROSES,1046.3
79323G,916,-1037.45,27,"Unsaleable, destroyed.",1037.45
22470,532,-1028.7,25,HEART OF WICKER LARGE,1028.7
22960,347,-1012.79,88,JAM MAKING SET WITH JARS,1012.79
21915,1274,-991.0,16,RED HARMONICA IN BOX,991.0
79323S,920,-976.8000000000001,24,"Unsaleable, destroyed.",976.8000000000001
21166,682,-967.2299999999999,18,COOK WITH WINE METAL SIGN,967.2299999999999
21232,804,-950.09,183,STRAWBERRY CERAMIC TRINKET POT,950.09
21381,603,-949.7099999999999,6,MINI WOODEN HAPPY BIRTHDAY GARLAND,949.7099999999999
22111,217,-936.65,15,SCOTTIE DOG HOT WATER BOTTLE,936.65
21096,7008,-911.0400000000001,1,SET/6 FRUIT SALAD PAPER PLATES,911.0400000000001
22634,94,-906.3,53,CHILDS BREAKFAST SET SPACEBOY,906.3
21871,881,-892.19,26,SAVE THE PLANET MUG,892.19
47590A,188,-887.8000000000001,9,BLUE HAPPY BIRTHDAY BUNTING,887.8000000000001
22904,322,-885.9,3,CALENDAR PAPER CUT DESIGN,885.9
10002,1226,-883.5500000000001,8,Unknown product,883.5500000000001
22903,320,-880.0,2,CALENDAR FAMILY FAVOURITES,880.0
22386,482,-866.98,25,JUMBO BAG PINK POLKADOT,866.98
47587A,2421,-864.0,3,PINK FAIRY CAKE COASTER,864.0
20975,1692,-858.35,14,12 PENCILS SMALL TUBE RED RETROSPOT,858.35
82486,105,-855.15,44,3 DRAWER ANTIQUE WHITE WOOD CABINET,855.15
72045D,504,-851.76,1,ROSES ON BLUE TEACUP CANDLE,851.76
22920,1527,-841.0500000000001,2,HERB MARKER BASIL,841.0500000000001
15056N,855,-840.55,22,EDWARDIAN PARASOL NATURAL,840.55
22271,379,-839.2,9,FELTCRAFT DOLL ROSIE,839.2
75049L,909,-808.75,54,LARGE CIRCULAR MIRROR MOBILE,808.75
22114,439,-795.2,16,HOT WATER BOTTLE TEA AND SYMPATHY,795.2
22847,59,-794.55,37,BREAD BIN DINER STYLE IVORY,794.55
84949,512,-793.8,66,SILVER HANGING T-LIGHT HOLDER,793.8
22411,441,-791.52,22,JUMBO SHOPPER VINTAGE RED PAISLEY,791.52
35400,280,-779.4499999999999,46,WOODEN BOX ADVENT CALENDAR,779.4499999999999
84879,1112,-774.0699999999999,21,ASSORTED COLOUR BIRD ORNAMENT,774.0699999999999
22950,1709,-773.65,7,SET OF 36 VINTAGE CHRISTMAS DOILIES,773.65
21069,726,-770.8900000000001,4,VINTAGE BILLBOARD TEA MUG,770.8900000000001
85042,334,-757.4,62,ANTIQUE LILY FAIRY LIGHTS,757.4
22169,109,-741.2,36,FAMILY ALBUM WHITE PICTURE FRAME,741.2
22720,218,-730.1,75,SET OF 3 CAKE TINS PANTRY DESIGN,730.1
22385,426,-725.44,12,JUMBO BAG SPACEBOY DESIGN,725.44
22568,382,-725.1600000000001,10,?? missing,725.1600000000001
84919,189,-723.4,7,Unknown product,723.4
22564,679,-721.07,5,ALPHABET STENCIL CRAFT,721.07
21931,390,-710.63,34,JUMBO STORAGE BAG SUKI,710.63
21207,489,-709.25,4,SKULL AND CROSSBONES GARLAND,709.25
85048,93,-695.35,50,15CM CHRISTMAS GLASS BALL 20 LIGHTS,695.35
21056,82,-693.9,4,DOCTOR'S BAG SOFT TOY,693.9
23055,830,-690.72,6,rusty thrown away,690.72
22112,156,-687.48,13,CHOCOLATE HOT WATER BOTTLE,687.48
72802B,748,-679.24,12,check,679.24
21479,288,-677.1800000000001,10,WHITE SKULL HOT WATER BOTTLE,677.1800000000001
21340,89,-670.0999999999999,16,CLASSIC METAL BIRDCAGE PLANT HOLDER,670.0999999999999
22332,458,-669.3,6,SKULLS PARTY BAG + STICKER SET,669.3
22467,2202,-665.55,68,GUMBALL COAT RACK,665.55
22691,143,-665.35,3,DOORMAT WELCOME SUNRISE,665.35
22692,143,-665.0500000000001,3,DOORMAT WELCOME TO OUR HOME,665.0500000000001
84406B,781,-663.1,16,CREAM CUPID HEARTS COAT HANGER,663.1
23207,448,-659.6,13,LUNCH BAG ALPHABET DESIGN,659.6
22666,237,-655.5500000000001,63,RECIPE BOX PANTRY YELLOW DESIGN,655.5500000000001
21679,900,-652.68,5,SKULLS STICKERS,652.68
22313,252,-647.4,2,OFFICE MUG WARMER PINK,647.4
15036,1929,-644.03,16,Unknown product,644.03
23057,713,-636.15,7,rusty throw away,636.15
79321,336,-635.75,23,CHILLI LIGHTS,635.75
22487,86,-635.6,38,WHITE WOOD GARDEN PLANT LADDER,635.6
20685,91,-632.53,12,DOORMAT RED RETROSPOT,632.53
22461,130,-625.6999999999999,33,SAVOY ART DECO CLOCK,625.6999999999999
22197,11024,-616.58,92,POPCORN HOLDER,616.58
22942,77,-612.85,13,CHRISTMAS LIGHTS 10 SANTAS,612.85
22561,410,-611.6999999999999,11,WOODEN SCHOOL COLOURING SET,611.6999999999999
22941,74,-610.3000000000001,26,CHRISTMAS LIGHTS 10 REINDEER,610.3000000000001
85174,141,-607.65,10,S/4 CACTI CANDLES,607.65
21781,85,-600.6,21,Unknown product,600.6
72802C,635,-584.06,9,VANILLA SCENT CANDLE JEWELLED BOX,584.06
22170,126,-581.9,29,PICTURE FRAME WOOD TRIPLE PORTRAIT,581.9
22827,12,-580.0,5,RUSTIC SEVENTEEN DRAWER SIDEBOARD,580.0
85014C,492,-576.0,3,Unknown product,576.0
22659,337,-574.9499999999999,22,LUNCH BOX I LOVE LONDON,574.9499999999999
21088,7140,-572.52,2,SET/6 FRUIT SALAD PAPER CUPS,572.52
18097C,292,-571.8000000000001,2,WHITE TALL PORCELAIN T-LIGHT HOLDER,571.8000000000001
85099C,313,-570.88,26,JUMBO BAG BAROQUE BLACK WHITE,570.88
21035,207,-570.65,5,SET/2 RED RETROSPOT TEA TOWELS,570.65
22424,47,-570.45,26,ENAMEL BREAD BIN CREAM,570.45
72807C,1131,-566.38,19,SET/3 VANILLA SCENTED CANDLE IN BOX,566.38
85006,1534,-564.4,11,Unknown product,564.4
22796,419,-563.8499999999999,26,PHOTO FRAME 3 CLASSIC HANGING,563.8499999999999
21155,344,-562.69,26,RED RETROSPOT PEG BAG,562.69
85160A,4341,-561.6,2,Unknown product,561.6
22622,61,-559.35,6,BOX OF VINTAGE ALPHABET BLOCKS,559.35
22990,126,-553.6999999999999,11,COTTON APRON PANTRY DESIGN,553.6999999999999
22900,316,-552.5999999999999,12,SET 2 TEA TOWELS I LOVE LONDON,552.5999999999999
21212,1110,-549.66,26,PACK OF 72 RETROSPOT CAKE CASES,549.66
22698,308,-546.75,49,PINK REGENCY TEACUP AND SAUCER,546.75
22503,22,-546.6999999999999,6,CABIN BAG VINTAGE PAISLEY,546.6999999999999
23243,117,-545.5500000000001,35,SET OF TEA COFFEE SUGAR TINS PANTRY,545.5500000000001
21621,594,-544.0,13,VINTAGE UNION JACK BUNTING,544.0
21928,295,-536.58,24,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,536.58
22630,302,-530.9999999999999,20,DOLLY GIRL LUNCH BOX,530.9999999999999
22360,187,-524.45,39,GLASS JAR ENGLISH CONFECTIONERY,524.45
21082,3131,-523.94,3,SET/20 FRUIT SALAD PAPER NAPKINS,523.94
22826,4,-517.5,4,LOVE SEAT ANTIQUE WHITE METAL,517.5
37503,176,-515.45,14,TEA TIME CAKE STAND IN GIFT BOX,515.45
85099F,1375,-512.24,27,JUMBO BAG STRAWBERRY,512.24
21704,702,-512.07,7,BAG 250g SWIRLY MARBLES,512.07
22215,62,-510.0,30,CAKE STAND WHITE TWO TIER LACE,510.0
21112,198,-507.29999999999995,3,"SWISS ROLL TOWEL, PINK SPOTS",507.29999999999995
22697,184,-506.8,58,GREEN REGENCY TEACUP AND SAUCER,506.8
23343,1871,-505.68,10,JUMBO BAG VINTAGE CHRISTMAS,505.68
84946,450,-503.03000000000003,46,ANTIQUE SILVER T-LIGHT GLASS,503.03000000000003
22456,129,-501.5,53,NATURAL SLATE CHALKBOARD LARGE,501.5
37340,5014,-501.2200000000001,5,MULTICOLOUR SPRING FLOWER MUG,501.2200000000001
21623,56,-499.20000000000005,13,VINTAGE UNION JACK MEMOBOARD,499.20000000000005
21094,762,-495.24,5,SET/6 RED SPOTTY PAPER PLATES,495.24
37495,142,-493.2,33,FAIRY CAKE BIRTHDAY CANDLE SET,493.2
20969,145,-491.91,2,RED FLORAL FELTCRAFT SHOULDER BAG,491.91
23344,262,-486.96000000000004,7,JUMBO BAG 50'S CHRISTMAS,486.96000000000004
22220,51,-485.7,27,CAKE STAND LOVEBIRD 2 TIER WHITE,485.7
21217,95,-484.49999999999994,30,RED RETROSPOT ROUND CAKE TINS,484.49999999999994
21929,744,-483.96999999999997,23,JUMBO BAG PINK VINTAGE PAISLEY,483.96999999999997
22180,92,-483.2,32,Unknown product,483.2
23298,110,-482.81,12,SPOTTY BUNTING,482.81
22890,51,-481.34999999999997,26,NOVELTY BISCUITS CAKE STAND 3 TIER,481.34999999999997
21392,3679,-478.44,3,Unknown product,478.44
22070,339,-474.79,12,SMALL RED RETROSPOT MUG IN BOX,474.79
22087,275,-465.40000000000003,14,Unknown product,465.40000000000003
20979,390,-463.18,27,36 PENCILS TUBE RED RETROSPOT,463.18
85047,202,-450.7,44,WHITE BEADED GARLAND STRING 20LIGHT,450.7
22846,28,-450.59999999999997,19,BREAD BIN DINER STYLE RED,450.59999999999997
20713,4344,-448.98,16,JUMBO BAG OWLS,448.98
85071A,152,-448.4,2,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,448.4
20712,490,-447.61,19,JUMBO BAG WOODLAND ANIMALS,447.61
22961,444,-444.59999999999997,14,JAM MAKING SET PRINTED,444.59999999999997
23157,240,-444.0,1,SET OF 6 NATIVITY MAGNETS,444.0
22585,394,-442.91,13,PACK OF 6 BIRDY GIFT TAGS,442.91
23202,242,-442.46000000000004,6,JUMBO BAG VINTAGE LEAF,442.46000000000004
22502,187,-436.42,18,PICNIC BASKET WICKER SMALL,436.42
23173,52,-436.40000000000003,13,REGENCY TEAPOT ROSES,436.40000000000003
22551,287,-435.15,18,PLASTERS IN TIN SPACEBOY,435.15
22384,285,-434.85,36,LUNCH BAG PINK POLKADOT,434.85
23071,141,-434.0,5,damages,434.0
21080,653,-433.66999999999996,11,SET/20 RED RETROSPOT PAPER NAPKINS,433.66999999999996
21439,408,-432.48,1,BASKET OF TOADSTOOLS,432.48
22356,582,-430.74,27,CHARLOTTE BAG PINK POLKADOT,430.74
22606,83,-430.7,18,WOODEN SKITTLES GARDEN SET,430.7
35004C,298,-426.8,33,Unknown product,426.8
22584,197,-425.85,5,PACK OF 6 PANETTONE GIFT BOXES,425.85
21279,1639,-425.84999999999997,6,VINTAGE KITCHEN PRINT FRUITS,425.84999999999997
22469,532,-424.65,21,HEART OF WICKER SMALL,424.65
20715,855,-424.0,2,Unknown product,424.0
21086,1029,-422.64000000000004,6,SET/6 RED SPOTTY PAPER CUPS,422.64000000000004
23245,90,-421.5,37,SET OF 3 REGENCY CAKE TINS,421.5
21787,528,-420.0,3,RAIN PONCHO RETROSPOT,420.0
84978,761,-417.72,52,HANGING HEART JAR T-LIGHT HOLDER,417.72
23355,96,-417.6,8,HOT WATER BOTTLE KEEP CALM,417.6
84755,729,-415.35,28,COLOUR GLASS T-LIGHT HOLDER HANGING,415.35
16047,5251,-414.72,3,Unknown product,414.72
22588,236,-411.87000000000006,4,CARD HOLDER GINGHAM HEART,411.87000000000006
22797,52,-411.75,17,CHEST OF DRAWERS GINGHAM HEART,411.75
21989,624,-409.44,3,PACK OF 20 SKULL PAPER NAPKINS,409.44
23485,18,-407.4,13,BOTANICAL GARDENS WALL CLOCK,407.4
47556B,237,-402.59999999999997,5,Unknown product,402.59999999999997
22363,152,-400.40000000000003,13,GLASS JAR MARMALADE,400.40000000000003
22769,23,-400.15,9,Unknown product,400.15
22173,219,-399.71999999999997,13,METAL 4 HOOK HANGER FRENCH CHATEAU,399.71999999999997
22493,274,-398.1,5,PAINT YOUR OWN CANVAS SET,398.1
22767,40,-398.0,20,TRIPLE PHOTO FRAME CORNICE,398.0
20974,612,-397.8,6,12 PENCILS SMALL TUBE SKULL,397.8
21463,144,-397.35,29,MIRRORED DISCO BALL,397.35
21667,62,-393.74999999999994,15,GLASS CAKE COVER AND PLATE,393.74999999999994
22667,168,-393.50000000000006,39,RECIPE BOX RETROSPOT,393.50000000000006
84466,540,-391.85,11,Unknown product,391.85
21936,143,-391.75,24,RED RETROSPOT PICNIC BAG,391.75
85160B,2981,-391.40999999999997,4,BLACK BIRD GARDEN DESIGN MUG,391.40999999999997
22946,47,-390.3,15,WOODEN ADVENT CALENDAR CREAM,390.3
84968A,34,-390.29999999999995,4,SET OF 16 VINTAGE ROSE CUTLERY,390.29999999999995
16046,4632,-389.03999999999996,2,TEATIME PEN CASE & PENS,389.03999999999996
21231,414,-388.93,73,SWEETHEART CERAMIC TRINKET BOX,388.93
47502,87,-387.95,9,Unknown product,387.95
85110,5074,-387.36000000000007,4,Unknown product,387.36000000000007
22382,253,-387.25,20,LUNCH BAG SPACEBOY DESIGN,387.25
23494,65,-386.75,11,VINTAGE DOILY DELUXE SEWING KIT,386.75
23072,122,-384.0,3,damages,384.0
21281,1578,-384.0,3,Unknown product,384.0
84997B,109,-382.83000000000004,7,CHILDRENS CUTLERY RETROSPOT RED,382.83000000000004
22168,308,-381.65,34,Unknown product,381.65
23169,328,-379.15000000000003,35,smashed,379.15000000000003
22464,250,-378.9,26,HANGING METAL HEART LANTERN,378.9
85065,67,-377.8,11,CREAM SWEETHEART TRAYS,377.8
22636,45,-375.7,24,CHILDS BREAKFAST SET CIRCUS PARADE,375.7
22768,38,-375.2,27,FAMILY PHOTO FRAME CORNICE,375.2
21533,80,-375.0,32,RETROSPOT LARGE MILK JUG,375.0
23318,168,-368.71000000000004,7,BOX OF 6 MINI VINTAGE CRACKERS,368.71000000000004
21988,576,-368.64,1,PACK OF 6 SKULL PAPER PLATES,368.64
84847,1133,-368.28000000000003,2,FLORAL BATHROOM SET,368.28000000000003
22781,51,-366.75,15,GUMBALL MAGAZINE RACK,366.75
20840,249,-365.85,4,damages,365.85
23167,525,-365.19,9,SMALL CERAMIC TOP STORAGE JAR,365.19
35004B,323,-364.65000000000003,25,SET OF 3 BLACK FLYING DUCKS,364.65000000000003
21888,154,-363.75,11,check,363.75
84077,1704,-361.68,11,WORLD WAR 2 GLIDERS ASSTD DESIGNS,361.68
48138,51,-359.40999999999997,13,DOORMAT UNION FLAG,359.40999999999997
22623,79,-355.05,9,BOX OF VINTAGE JIGSAW BLOCKS,355.05
22689,88,-354.0,3,DOORMAT MERRY CHRISTMAS RED,354.0
22649,72,-352.90000000000003,42,STRAWBERRY FAIRY CAKE TEAPOT,352.90000000000003
22468,58,-352.3,6,BABUSHKA LIGHTS STRING OF 10,352.3
21658,109,-351.44,55,GLASS BEURRE DISH,351.44
23462,52,-350.09999999999997,13,ROCOCO WALL MIRROR WHITE,350.09999999999997
22694,180,-348.0,8,WICKER STAR,348.0
35924,205,-347.67999999999995,11,HANGING FAIRY CAKE DECORATION,347.67999999999995
22198,323,-347.29999999999995,64,LARGE POPCORN HOLDER,347.29999999999995
23174,88,-345.2,17,REGENCY SUGAR BOWL GREEN,345.2
47599B,206,-343.96,4,BLUE PARTY BAGS,343.96
22297,275,-343.75,6,HEART IVORY TRELLIS SMALL,343.75
84816,30,-340.6,9,damages,340.6
22413,169,-340.54999999999995,7,METAL SIGN TAKE IT OR LEAVE IT,340.54999999999995
23256,88,-338.0,8,CHILDRENS CUTLERY SPACEBOY,338.0
85178,301,-337.85,6,VICTORIAN SEWING KIT,337.85
22933,156,-337.80000000000007,2,BAKING MOULD EASTER EGG MILK CHOC,337.80000000000007
22303,366,-336.45,29,COFFEE MUG APPLES DESIGN,336.45
21614,211,-336.05,6,Unknown product,336.05
21539,181,-334.31,50,RED RETROSPOT BUTTER DISH,334.31
22909,1470,-334.22,13,SET OF 20 VINTAGE CHRISTMAS NAPKINS,334.22
22151,915,-332.46,7,PLACE SETTING WHITE HEART,332.46
22580,64,-331.8,7,ADVENT CALENDAR GINGHAM SACK,331.8
22834,215,-331.25,8,HAND WARMER BABUSHKA DESIGN,331.25
21393,2518,-330.78000000000003,3,BLUE POLKADOT PUDDING BOWL,330.78000000000003
22107,95,-330.71000000000004,12,PIZZA PLATE IN BOX,330.71000000000004
84347,10121,-330.45000000000005,8,ROTATING SILVER ANGELS T-LIGHT HLDR,330.45000000000005
22550,88,-330.0,8,HOLIDAY FUN LUDO,330.0
21136,497,-329.36999999999995,5,PAINTED METAL PEARS ASSORTED,329.36999999999995
84029E,137,-327.7,13,RED WOOLLY HOTTIE WHITE HEART.,327.7
82484,55,-325.0,25,WOOD BLACK BOARD ANT WHITE FINISH,325.0
22207,85,-324.75,6,FRYING PAN UNION FLAG,324.75
22504,12,-322.25,8,CABIN BAG VINTAGE RETROSPOT,322.25
21278,1235,-320.4,5,Unknown product,320.4
20772,151,-320.25000000000006,3,GARDEN PATH JOURNAL,320.25000000000006
21769,9,-319.8,5,showroom,319.8
22193,44,-319.6,19,RED DINER WALL CLOCK,319.6
84997C,833,-319.48,11,CHILDRENS CUTLERY POLKADOT BLUE,319.48
23108,64,-317.6,18,SET OF 10 LED DOLLY LIGHTS,317.6
22457,122,-315.95000000000005,32,NATURAL SLATE HEART CHALKBOARD,315.95000000000005
22727,84,-315.0,32,ALARM CLOCK BAKELIKE RED,315.0
22125,63,-314.85,3,UNION JACK HOT WATER BOTTLE,314.85
21280,1248,-312.0,1,VINTAGE KITCHEN PRINT VEGETABLES,312.0
22944,343,-311.21000000000004,4,CHRISTMAS METAL POSTCARD WITH BELLS,311.21000000000004
22364,110,-306.90000000000003,29,GLASS JAR DIGESTIVE BISCUITS,306.90000000000003
22654,52,-306.40000000000003,25,DELUXE SEWING KIT,306.40000000000003
21878,421,-304.81,3,PACK OF 6 SANDCASTLE FLAGS ASSORTED,304.81
22084,317,-299.45,6,Unknown product,299.45
22625,46,-299.2,22,RED KITCHEN SCALES,299.2
21833,300,-297.5,11,CAMOUFLAGE LED TORCH,297.5
37423,3089,-295.2,3,Unknown product,295.2
84247E,106,-293.5,8,PACK OF 12 CHRISTMAS FUN CARDS,293.5
84270,5151,-293.40000000000003,9,Damaged,293.40000000000003
23110,51,-293.25,28,PARISIENNE KEY CABINET,293.25
47590B,156,-293.05,12,check,293.05
22335,495,-292.95000000000005,11,HEART DECORATION PAINTED ZINC,292.95000000000005
22427,91,-291.5,22,ENAMEL FLOWER JUG CREAM,291.5
C2,7,-290.0,7,CARRIAGE,290.0
22828,2,-290.0,1,REGENCY MIRROR WITH SHUTTERS,290.0
22509,19,-288.04999999999995,5,SEWING BOX RETROSPOT DESIGN,288.04999999999995
22383,188,-285.8,32,LUNCH BAG SUKI DESIGN,285.8
21755,48,-285.6,13,LOVE BUILDING BLOCK WORD,285.6
21912,76,-285.0,3,VINTAGE SNAKES & LADDERS,285.0
22956,152,-283.20000000000005,3,36 FOIL HEART CAKE CASES,283.20000000000005
23111,24,-283.2,16,PARISIENNE SEWING BOX,283.2
22102,721,-282.45,2,MIRROR MOSAIC T-LIGHT HOLDER,282.45
85103,78,-280.1,6,stock creditted wrongly,280.1
21218,79,-277.25,27,RED SPOTTY BISCUIT TIN,277.25
37424,2253,-274.56,3,Unknown product,274.56
21648,386,-274.4,9,ASSORTED TUTTI FRUTTI SMALL PURSE,274.4
22583,111,-272.85,6,PACK OF 6 HANDBAG GIFT BOXES,272.85
22978,75,-272.61,12,PANTRY ROLLING PIN,272.61
22109,78,-271.26,18,FULL ENGLISH BREAKFAST PLATE,271.26
