stock_code,units_sold,revenue_gbp,orders,identified_customers,description,revenue_share_pct
22502,3766,60880.3,924,335,PICNIC BASKET WICKER SMALL,0.29732137933392244
21621,6900,60286.04,1292,583,VINTAGE UNION JACK BUNTING,0.29441918925136734
22114,11677,59189.14,1583,626,HOT WATER BOTTLE TEA AND SYMPATHY,0.28906225406886366
85099C,30640,59057.61,1868,506,JUMBO BAG BAROQUE BLACK WHITE,0.2884199004499789
22910,18634,58652.700000000004,1427,701,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.2864424397655523
22112,11065,57981.94,1721,631,CHOCOLATE HOT WATER BOTTLE,0.2831666463085223
15056N,11286,57975.450000000004,1033,347,EDWARDIAN PARASOL NATURAL,0.28313495106799497
22411,27281,57318.71,2192,658,JUMBO SHOPPER VINTAGE RED PAISLEY,0.2799276271444308
82484,9831,56745.729999999996,1176,451,WOOD BLACK BOARD ANT WHITE FINISH,0.27712936228813495
22470,17773,53506.130000000005,1952,827,HEART OF WICKER LARGE,0.26130811402736465
22139,10609,52843.01,2093,941,RETROSPOT TEA SET CERAMIC 11 PC,0.25806963207073974
20914,18670,52508.560000000005,2030,647,SET/5 RED RETROSPOT LID GLASS BOWLS,0.2564362771871694
22178,40081,52382.82,1816,593,VICTORIAN GLASS HANGING T-LIGHT,0.25582220021584284
21212,94884,51825.15,3118,1115,PACK OF 72 RETROSPOT CAKE CASES,0.2530987048714844
22090,16698,50431.9,1703,631,PAPER BUNTING RETROSPOT,0.2462944839370115
21733,17575,50346.490000000005,1760,744,RED HANGING HEART T-LIGHT HOLDER,0.24587736675774485
21181,24732,50117.14000000001,1810,598,PLEASE ONE PERSON METAL SIGN,0.24475728918995635
22111,9776,49771.94,1689,717,SCOTTIE DOG HOT WATER BOTTLE,0.24307143448578977
21929,25608,49651.99,1619,504,JUMBO BAG PINK VINTAGE PAISLEY,0.2424856341620216
22189,16186,49300.94,1299,536,CREAM HEART CARD HOLDER,0.24077120978804226
21232,37997,49300.57,2435,689,STRAWBERRY CERAMIC TRINKET POT,0.24076940281747292
84946,36696,49210.4,1769,641,ANTIQUE SILVER T-LIGHT GLASS,0.24032903920601667
22469,27908,48935.10999999999,2151,886,HEART OF WICKER SMALL,0.2389846042653735
48194,7726,48726.56,1349,516,DOORMAT HEARTS,0.23796610774580826
21731,28910,48315.84,1537,415,RED TOADSTOOL LED NIGHT LIGHT,0.23596027273973852
22457,15373,47288.23,2046,874,NATURAL SLATE HEART CHALKBOARD,0.2309417294241285
15056BL,9504,47267.450000000004,857,321,EDWARDIAN PARASOL BLACK,0.2308402460499901
21754,7595,46516.990000000005,2066,682,HOME BUILDING BLOCK WORD,0.22717522136491244
48187,7314,46405.4,1282,525,DOORMAT NEW ENGLAND,0.22663024880860316
21928,24268,46202.52,1542,450,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,0.2256394428920872
21523,6916,46083.71,1122,357,DOORMAT FANCY FONT HOME SWEET HOME,0.22505920999115436
22138,9366,45882.01,1914,1137,BAKING SET 9 PIECE RETROSPOT,0.22407416684564338
48185,6822,45723.840000000004,983,317,DOORMAT FAIRY CAKE,0.22330171134576499
20727,26678,45655.27,2351,705,LUNCH BAG BLACK SKULL.,0.22296683574592518
21623,6165,45402.18,530,311,VINTAGE UNION JACK MEMOBOARD,0.2217308190394434
22355,31956,45377.56,1742,393,CHARLOTTE BAG SUKI DESIGN,0.22161058224101762
71477,15089,44680.75,809,302,COLOURED GLASS STAR T-LIGHT HOLDER,0.21820756828849652
22326,15446,44257.740000000005,1391,439,ROUND SNACK BOXES SET OF4 WOODLAND,0.21614171255729875
21175,20676,43851.48,1659,553,GIN AND TONIC DIET METAL SIGN,0.21415765887214605
84078A,1128,43844.96000000001,328,151,SET/4 WHITE RETRO STORAGE CUBES,0.2141258171204915
82494L,15301,43811.16,1973,631,WOODEN FRAME ANTIQUE WHITE,0.21396074791712869
22383,25058,43254.35,2398,664,LUNCH BAG SUKI DESIGN,0.21124145255841786
23298,8466,43148.18,1146,573,SPOTTY BUNTING,0.21072294967909758
84029E,10628,42994.240000000005,1145,500,RED WOOLLY HOTTIE WHITE HEART.,0.2099711522481608
21915,36289,42664.54,1025,467,RED HARMONICA IN BOX,0.2083609949597375
20728,24596,42270.3,2067,702,LUNCH BAG CARS BLUE,0.2064356433995677
23203,20485,42030.340000000004,1231,505,JUMBO BAG VINTAGE DOILY,0.20526374972977685
82482,16914,41837.6,2006,601,WOODEN PICTURE FRAME WHITE FINISH,0.20432246457426972
20713,20814,40667.05,1314,371,JUMBO BAG OWLS,0.1986058445743794
22083,13716,40412.82,1401,589,PAPER CHAIN KIT RETROSPOT,0.1973642604450623
84997D,10653,39875.14,1085,431,CHILDRENS CUTLERY POLKADOT PINK,0.19473839034849144
85066,3091,38599.979999999996,929,471,CREAM SWEETHEART MINI CHEST,0.18851088604789756
20726,22118,38506.74,1926,585,LUNCH BAG WOODLAND,0.18805552946441992
22960,9019,38380.11,1159,583,JAM MAKING SET WITH JARS,0.1874371059963185
22699,13070,38249.5,1424,524,ROSES REGENCY TEACUP AND SAUCER,0.1867992453853359
21166,19932,38138.86,1425,475,COOK WITH WINE METAL SIGN,0.1862589123480561
23284,5487,38133.64,728,378,DOORMAT KEEP CALM AND COME IN,0.18623341941191549
22720,7483,38108.89,1385,640,SET OF 3 CAKE TINS PANTRY DESIGN,0.1861125477319383
82486,4728,38052.33,1274,365,3 DRAWER ANTIQUE WHITE WOOD CABINET,0.18583632542003894
22629,20807,37955.5,1368,456,SPACEBOY LUNCH BOX,0.18536343633833427
20712,17710,37499.37,1415,387,JUMBO BAG WOODLAND ANIMALS,0.18313583232265793
21485,7593,37078.67,1385,657,RETROSPOT HEART HOT WATER BOTTLE,0.18108125794825797
22727,9234,36543.77,1363,473,ALARM CLOCK BAKELIKE RED,0.17846896454947844
22328,12959,36170.31,1159,401,ROUND SNACK BOXES SET OF 4 FRUITS,0.17664509636344708
21524,5255,35955.44,1150,474,DOORMAT SPOTTY HOME SWEET HOME,0.17559573483307553
20724,32197,35190.21,2035,524,RED RETROSPOT CHARLOTTE BAG,0.17185857783635083
21755,5643,34836.020000000004,1696,661,LOVE BUILDING BLOCK WORD,0.17012881863105322
22379,15765,34640.84,1570,423,RECYCLING BAG RETROSPOT,0.1691756172371968
84997B,9257,34488.07,1019,433,CHILDRENS CUTLERY RETROSPOT RED,0.16842953374022254
22384,20783,34088.79,2106,681,LUNCH BAG PINK POLKADOT,0.16647956831067556
22382,20248,34071.97,2153,790,LUNCH BAG SPACEBOY DESIGN,0.1663974244053335
22666,10706,33682.62,1657,701,RECIPE BOX PANTRY YELLOW DESIGN,0.16449595415890467
22630,18058,33380.83,1333,423,DOLLY GIRL LUNCH BOX,0.1630221010558617
15036,44272,32967.03,991,303,ASSORTED COLOURS SILK FAN,0.16100122424072813
84997C,8798,32740.36,951,426,CHILDRENS CUTLERY POLKADOT BLUE,0.15989423500030683
22726,7671,32609.32,1273,404,ALARM CLOCK BAKELIKE GREEN,0.1592542743965004
22385,17057,32433.5,1248,412,JUMBO BAG SPACEBOY DESIGN,0.15839562151675948
22077,17238,31513.109999999997,1751,685,6 RIBBONS RUSTIC CHARM,0.15390070896992333
85152,16373,31483.7,1460,486,HAND OVER THE CHOCOLATE SIGN,0.15375707922818077
22865,14537,31416.040000000005,1212,566,HAND WARMER OWL DESIGN,0.15342664779920076
48184,4715,31142.63,851,374,DOORMAT ENGLISH ROSE,0.15209139422253162
23245,6345,31118.550000000003,873,472,SET OF 3 REGENCY CAKE TINS,0.15197379462439628
21479,6219,31079.8,930,410,WHITE SKULL HOT WATER BOTTLE,0.15178455108503805
85014B,6155,30776.58,900,437,RED RETROSPOT UMBRELLA,0.15030371428492978
23199,14908,30450.690000000002,978,344,JUMBO BAG APPLES,0.14871216390966666
22697,9795,30425.050000000003,1353,480,GREEN REGENCY TEACUP AND SAUCER,0.14858694573291456
22501,2612,30339.36,762,346,PICNIC BASKET WICKER LARGE,0.1481684611164602
20679,6149,30020.97,715,271,EDWARDIAN PARASOL RED,0.14661353852300835
21217,2904,29769.239999999998,928,423,RED RETROSPOT ROUND CAKE TINS,0.14538416365429502
22659,15942,29563.809999999998,1075,294,LUNCH BOX I LOVE LONDON,0.14438090429196324
84029G,6830,29533.87,1009,386,KNITTED UNION FLAG HOT WATER BOTTLE,0.14423468618697266
22622,2945,29450.109999999997,571,346,BOX OF VINTAGE ALPHABET BLOCKS,0.14382562711970442
47590B,5738,29363.86,872,428,PINK HAPPY BIRTHDAY BUNTING,0.14340440762887488
22158,8985,29198.280000000002,718,374,3 HEARTS HANGING DECORATION RUSTIC,0.14259576388056697
82483,4878,29003.370000000003,1123,361,WOOD 2 DRAWER CABINET WHITE FINISH,0.1416438810868558
23355,5816,28718.800000000003,782,474,HOT WATER BOTTLE KEEP CALM,0.14025412537085152
48188,4872,28639.1,698,309,DOORMAT WELCOME PUPPIES,0.1398648941428038
20971,22260,28580.97,1148,490,PINK BLUE FELT CRAFT TRINKET BOX,0.13958100441524526
84978,21689,28475.96,1425,525,HANGING HEART JAR T-LIGHT HOLDER,0.13906816663284513
22866,12778,28266.870000000003,1083,530,HAND WARMER SCOTTY DOG DESIGN,0.13804703291298948
22752,3459,28139.45,692,323,SET 7 BABUSHKA NESTING BOXES,0.13742475131853726
22188,10353,28112.03,566,292,BLACK HEART CARD HOLDER,0.13729084014823525
21977,56061,28081.73,1993,767,PACK OF 60 PINK PAISLEY CAKE CASES,0.13714286390971775
22467,11868,28059.48,1095,398,GUMBALL COAT RACK,0.13703420149034432
82583,12877,27981.99,1176,323,HOT BATHS METAL SIGN,0.13665576324867032
23201,13366,27850.83,906,396,JUMBO BAG ALPHABET,0.1360152166003549
22492,43546,27817.590000000004,732,363,MINI PAINT SET VINTAGE,0.1358528822713674
20719,24479,27598.42,1573,365,WOODLAND CHARLOTTE BAG,0.13478252081275735
21930,13390,27368.08,1321,386,JUMBO STORAGE BAG SKULLS,0.13365760837776974
22624,3152,27282.73,1219,579,IVORY KITCHEN SCALES,0.13324078422075755
72741,19712,27239.46,920,510,GRAND CHOCOLATECANDLE,0.13302946633822774
22835,5302,27082.84,1011,451,HOT WATER BOTTLE I AM SO POORLY,0.13226458057992369
84991,54028,27041.21,2127,822,60 TEATIME FAIRY CAKE CASES,0.13206127197234996
22961,17252,26888.43,1200,558,JAM MAKING SET PRINTED,0.13131513963833324
20750,3688,26866.629999999997,909,471,RED RETROSPOT MINI CASES,0.1312086748858685
22734,9772,26763.75,756,444,SET OF 6 RIBBONS VINTAGE CHRISTMAS,0.13070623939350276
71459,32989,26738.79,1017,445,HANGING JAM JAR T-LIGHT HOLDERS,0.13058434213563486
22149,12674,26218.97,1382,684,FELTCRAFT 6 FLOWER FRIENDS,0.12804569499681723
22867,11872,26117.63,1054,521,HAND WARMER BIRD DESIGN,0.1275507804089834
48111,4248,25970.0,720,244,DOORMAT 3 SMILEY CATS,0.12682979915181045
22551,15441,25912.87,1299,616,PLASTERS IN TIN SPACEBOY,0.12655079312849343
47566B,5801,25803.49,761,350,TEA TIME PARTY BUNTING,0.12601661355855792
82600,12675,25736.190000000002,1201,385,N0 SINGING METAL SIGN,0.12568794026310484
20711,12643,25719.13,1052,326,JUMBO BAG TOYS,0.1256046242687448
21481,8174,25613.45,1050,439,FAWN BLUE HOT WATER BOTTLE,0.12508851440450286
22507,5455,25603.46,900,445,MEMO BOARD RETROSPOT DESIGN,0.12503972619913026
37503,2465,25428.329999999998,522,256,TEA TIME CAKE STAND IN GIFT BOX,0.12418444307531598
21080,31076,25416.93,2123,798,SET/20 RED RETROSPOT PAPER NAPKINS,0.12412876884696286
21108,12962,25407.27,613,325,FAIRY CAKE FLANNEL ASSORTED COLOUR,0.12408159226398995
22087,8475,25389.100000000002,847,314,PAPER BUNTING WHITE LACE,0.12399285535792186
84755,40439,25205.13,1259,524,COLOUR GLASS T-LIGHT HOLDER HANGING,0.12309440028861271
22084,8803,25163.56,811,464,PAPER CHAIN KIT EMPIRE,0.12289138470329346
21527,3345,24968.47,831,352,RED RETROSPOT TRADITIONAL TEAPOT,0.12193862284281881
23173,2766,24879.13,416,248,REGENCY TEAPOT ROSES,0.121502312705883
20972,20496,24785.31,1397,568,PINK CREAM FELT CRAFT TRINKET BOX,0.12104412357394528
21314,11426,24641.390000000003,1066,369,SMALL GLASS HEART TRINKET POT,0.12034126085950832
22722,5972,24459.960000000003,835,394,SET OF 6 SPICE TINS PANTRY DESIGN,0.11945521039897258
84077,106139,24445.609999999997,1019,482,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.11938512924310699
22698,8193,24374.620000000003,1033,402,PINK REGENCY TEACUP AND SAUCER,0.11903843507900279
84836,19847,24289.33,1408,662,ZINC METAL HEART DECORATION,0.11862190394424504
22728,6215,24257.31,969,357,ALARM CLOCK BAKELIKE PINK,0.11846552773443216
47590A,4752,24174.010000000002,689,355,BLUE HAPPY BIRTHDAY BUNTING,0.11805871517111502
21231,19428,24128.86,1482,500,SWEETHEART CERAMIC TRINKET BOX,0.1178382159246112
23344,10285,23772.07,716,391,JUMBO BAG 50'S CHRISTMAS,0.11609575908828565
21955,3911,23734.4,729,279,DOORMAT UNION JACK GUNS AND ROSES,0.11591178994950826
22171,3141,23709.46,661,269,3 HOOK PHOTO SHELF ANTIQUE WHITE,0.11578999036572521
21790,27244,23506.17,1888,793,VINTAGE SNAP CARDS,0.11479718213047024
23243,4800,23489.420000000002,470,275,SET OF TEA COFFEE SUGAR TINS PANTRY,0.11471538008442508
22605,1827,23426.82,642,377,WOODEN CROQUET GARDEN SET,0.11440966019890704
48173C,4077,23132.920000000002,500,224,DOORMAT BLACK FLOCK,0.11297433952232956
84406B,7131,23080.13,841,318,CREAM CUPID HEARTS COAT HANGER,0.11271652877542067
22625,2627,22911.55,950,440,RED KITCHEN SCALES,0.11189323391438824
22607,2533,22906.54,744,419,WOODEN ROUNDERS GARDEN SET,0.11186876655613831
21791,17604,22858.6,1313,641,VINTAGE HEADS AND TAILS CARD GAME,0.1116346417748007
22554,13588,22853.719999999998,1275,587,PLASTERS IN TIN WOODLAND ANIMALS,0.11161080929810215
21936,7805,22741.309999999998,1046,396,RED RETROSPOT PICNIC BAG,0.11106183210431492
22556,13585,22334.079999999998,1196,591,PLASTERS IN TIN CIRCUS PARADE,0.109073041226048
37449,2382,22333.3,477,205,CERAMIC CAKE STAND + HANGING CAKES,0.10906923193673963
20749,3062,22097.61,766,426,ASSORTED COLOUR MINI CASES,0.10791819168405999
22113,5759,22025.93,996,488,GREY HEART HOT WATER BOTTLE,0.10756812776402912
22585,17557,21977.3,1084,612,PACK OF 6 BIRDY GIFT TAGS,0.10733063322676487
22499,3584,21826.52,774,452,WOODEN UNION JACK BUNTING,0.10659426830123117
23202,10941,21810.43,879,377,JUMBO BAG VINTAGE LEAF,0.10651568949998541
85014A,4623,21797.58,684,361,BLACK/BLUE POLKADOT UMBRELLA,0.1064529339004821
84970S,26444,21794.26,1425,616,HANGING HEART ZINC T-LIGHT HOLDER,0.10643672000240031
22941,2615,21727.58,483,315,CHRISTMAS LIGHTS 10 REINDEER,0.10611107460357695
21210,15118,21727.19,1161,508,SET OF 72 RETROSPOT PAPER DOILIES,0.10610916995892276
22456,4416,21583.2,835,385,NATURAL SLATE CHALKBOARD LARGE,0.10540596538518889
22969,14461,21501.989999999998,709,472,HOMEMADE JAM SCENTED CANDLES,0.10500935976373649
23209,13170,21418.82,1098,469,LUNCH BAG VINTAGE DOILY,0.10460318208197075
21213,40263,21390.760000000002,1481,528,PACK OF 72 SKULL CAKE CASES,0.1044661453409542
21258,1505,21386.559999999998,526,186,VICTORIAN SEWING BOX LARGE,0.1044456337831399
85048,2685,21201.13,517,309,15CM CHRISTMAS GLASS BALL 20 LIGHTS,0.10354004850563815
22570,5631,20901.1,807,351,FELTCRAFT CUSHION RABBIT,0.10207479072206026
22424,1529,20886.89,739,310,ENAMEL BREAD BIN CREAM,0.10200539328478853
22356,20015,20871.9,1584,423,CHARLOTTE BAG PINK POLKADOT,0.10193218655820842
23206,12147,20852.579999999998,1036,401,LUNCH BAG APPLE DESIGN,0.10183783339226257
21218,5256,20800.31,897,313,RED SPOTTY BISCUIT TIN,0.10158256217155928
48116,3452,20712.63,496,186,DOORMAT MULTICOLOUR STRIPE,0.10115435898366436
22294,16671,20629.38,861,414,HEART FILIGREE DOVE SMALL,0.10074779060555931
22617,4251,20546.99,942,600,BAKING SET SPACEBOY DESIGN,0.10034542221310196
22632,10290,20540.33,779,438,HAND WARMER RED RETROSPOT,0.10031289674285356
22693,17875,20469.08,350,197,GROW A FLYTRAP OR SUNFLOWER IN TIN,0.09996493281564653
AMAZONFEE,3,20467.8,3,0,AMAZON FEE,0.0999586816742174
20723,18296,20401.05,1379,356,STRAWBERRY CHARLOTTE BAG,0.09963269441609712
21559,8227,20345.53,1221,396,STRAWBERRY LUNCH BOX WITH CUTLERY,0.09936155115660893
22568,5479,20244.97,875,389,FELTCRAFT CUSHION OWL,0.09887044585808348
85150,8361,20237.72,1110,369,LADIES & GENTLEMEN METAL SIGN,0.09883503900233259
21216,3884,20169.0,802,269,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",0.09849943084685656
22273,7355,20150.99,810,423,FELTCRAFT DOLL MOLLY,0.09841147533346711
22569,5521,20104.43,784,360,FELTCRAFT CUSHION BUTTERFLY,0.09818409006398277
21622,3699,19936.94,626,329,VINTAGE UNION JACK CUSHION COVER,0.09736611844057357
22900,6156,19834.04,723,252,SET 2 TEA TOWELS I LOVE LONDON,0.096863585274123
22413,6976,19728.24,881,446,METAL SIGN TAKE IT OR LEAVE IT,0.09634688936537208
22381,9265,19619.54,1100,349,TOY TIDY PINK POLKADOT,0.0958160307143208
48129,3127,19608.91,543,251,DOORMAT TOPIARY,0.09576411693823363
21174,9696,19593.81,1135,402,POTTERING IN THE SHED METAL SIGN,0.09569037300418695
22561,11642,19524.269999999997,904,556,WOODEN SCHOOL COLOURING SET,0.09535076021123287
22558,13809,19513.17,1202,541,CLOTHES PEGS RETROSPOT PACK 24,0.09529655109415221
22169,2275,19507.6,701,276,FAMILY ALBUM WHITE PICTURE FRAME,0.09526934886152703
84997A,5185,19400.7,589,278,CHILDRENS CUTLERY POLKADOT GREEN,0.09474728087811046
22427,3210,19273.280000000002,798,460,ENAMEL FLOWER JUG CREAM,0.09412499928365828
22952,32988,19240.05,1144,570,60 CAKE CASES VINTAGE CHRISTMAS,0.09396271379171316
21340,1758,19194.13,419,249,CLASSIC METAL BIRDCAGE PLANT HOLDER,0.09373845409294337
21908,9678,19125.980000000003,974,382,CHOCOLATE THIS WAY METAL SIGN,0.09340562964888502
22061,2171,19121.37,520,219,LARGE CAKE STAND HANGING STRAWBERY,0.09338311577233167
84949,11945,19015.8,693,330,SILVER HANGING T-LIGHT HOLDER,0.0928675431155563
71053,4769,18906.77,727,293,WHITE MOROCCAN METAL LANTERN,0.09233507284210532
84947,15810,18744.170000000002,680,312,ANTIQUE SILVER TEA GLASS ENGRAVED,0.09154098253243709
22555,11549,18680.32,967,521,PLASTERS IN TIN STRONGMAN,0.09122915801661716
22041,7540,18650.870000000003,555,101,"RECORD FRAME 7"" SINGLE SIZE",0.09108533292670494
21035,5994,18644.78,929,327,SET/2 RED RETROSPOT TEA TOWELS,0.09105559116787418
21121,15215,18442.7,873,466,SET/10 RED POLKADOT PARTY CANDLES,0.09006869221475142
22847,1157,18352.739999999998,482,264,BREAD BIN DINER STYLE IVORY,0.08962935418118588
21484,4584,18171.14,864,367,CHICK GREY HOT WATER BOTTLE,0.0887424734909291
79323W,3004,18048.72,349,174,WHITE CHERRY LIGHTS,0.08814461041768441
21430,4621,18044.97,814,323,SET/3 RED GINGHAM ROSE STORAGE BOX,0.08812629652677878
22505,3773,18034.63,744,397,MEMO BOARD COTTAGE DESIGN,0.08807579902492164
22147,12828,17893.579999999998,1132,582,FELTCRAFT BUTTERFLY HEARTS,0.08738695254165776
22560,14836,17861.71,742,420,TRADITIONAL MODELLING CLAY,0.0872313088874811
22352,7090,17830.71,1117,366,LUNCH BOX WITH CUTLERY RETROSPOT,0.08707991405599454
84945,21605,17746.71,653,344,MULTI COLOUR SILVER T-LIGHT HOLDER,0.08666968289970835
21914,12957,17725.36,963,446,BLUE HARMONICA IN BOX,0.08656541581415228
22297,13715,17702.62,969,391,HEART IVORY TRELLIS SMALL,0.08645436037970053
22633,8541,17576.670000000002,858,473,HAND WARMER UNION JACK,0.08583925783048334
22776,1708,17530.46,691,420,SWEETHEART 3 TIER CAKE STAND,0.08561358185748352
84467,816,17477.66,83,40,ENGLISH ROSE DESIGN QUILTED THROW,0.0853557222735322
20718,13353,17457.35,1213,428,RED RETROSPOT SHOPPER BAG,0.08525653424038729
21136,10496,17451.45,739,449,PAINTED METAL PEARS ASSORTED,0.08522772038536243
47591D,9390,17442.29,1140,526,PINK FAIRY CAKE CHILDRENS APRON,0.08518298565451027
22557,10369,17401.3,1126,580,PLASTERS IN TIN VINTAGE PAISLEY,0.08498280261765111
84992,34797,17259.850000000002,1460,614,72 SWEETHEART FAIRY CAKE CASES,0.08429200265269063
22366,2540,17242.3,568,252,DOORMAT AIRMAIL,0.08420629364325226
84970L,17400,17177.039999999997,1080,463,SINGLE HEART ZINC T-LIGHT HOLDER,0.08388758310445182
21889,12805,17095.66,1123,595,WOODEN BOX OF DOMINOES,0.08349014725327839
21156,9137,17002.28,930,472,RETROSPOT CHILDRENS APRON,0.08303410695120692
23240,4177,17000.170000000002,536,323,SET OF 4 KNICK KNACK TINS DOILY,0.08302380233525736
22654,2534,16971.27,597,300,DELUXE SEWING KIT,0.08288266328267793
21535,6776,16837.0,1111,461,RED RETROSPOT SMALL MILK JUG,0.08222692831417144
22652,9910,16794.05,830,440,TRAVEL SEWING KIT,0.08201717321699893
21164,5981,16626.41,721,356,HOME SWEET HOME METAL SIGN,0.08119846903795351
21533,3343,16614.870000000003,954,425,RETROSPOT LARGE MILK JUG,0.0811421110910066
22993,12649,16478.48,1073,431,SET OF 4 PANTRY JELLY MOULDS,0.0804760226695081
22837,3534,16455.18,450,221,HOT WATER BOTTLE BABUSHKA,0.0803622323606811
72760B,1699,16409.02,494,301,VINTAGE CREAM 3 BASKET CAKE STAND,0.08013680057289337
22487,1632,16373.699999999999,898,611,WHITE WOOD GARDEN PLANT LADDER,0.0799643081390835
21155,6665,16343.09,969,364,RED RETROSPOT PEG BAG,0.07981481795225112
23301,8807,16327.349999999999,913,405,GARDENERS KNEELING PAD KEEP CALM,0.07973794844748987
22191,1967,16216.050000000001,620,335,IVORY DINER WALL CLOCK,0.0791943921654107
22662,9951,16213.61,994,426,LUNCH BAG DOLLY GIRL DESIGN,0.07918247592706143
22193,1910,16117.980000000001,617,265,RED DINER WALL CLOCK,0.07871544729044659
22296,9719,16027.559999999998,833,428,HEART IVORY TRELLIS LARGE,0.07827386275292994
22692,2135,15965.95,606,293,DOORMAT WELCOME TO OUR HOME,0.07797297773461101
21877,14054,15954.75,755,323,HOME SWEET HOME MUG,0.07791828024710619
22634,1688,15946.55,499,322,CHILDS BREAKFAST SET SPACEBOY,0.07787823387232587
35004C,3035,15874.380000000001,355,112,SET OF 3 COLOURED FLYING DUCKS,0.07752577693721666
22759,9380,15866.559999999998,795,472,SET OF 3 NOTEBOOKS IN PARCEL,0.0774875863700481
22690,2530,15836.35,437,278,DOORMAT HOME SWEET HOME BLUE,0.07734004966491233
23313,2990,15798.66,401,254,VINTAGE CHRISTMAS BUNTING,0.07715598285205012
22635,1660,15795.01,485,325,CHILDS BREAKFAST SET DOLLY GIRL,0.07713815733156863
22367,8059,15778.67,1156,593,CHILDRENS APRON SPACEBOY DESIGN,0.0770583576042625
84375,7575,15753.18,796,389,SET OF 20 KIDS COOKIE CUTTERS,0.0769338719831466
22170,2385,15645.27,575,279,PICTURE FRAME WOOD TRIPLE PORTRAIT,0.0764068714584461
22333,10030,15639.65,697,333,RETROSPOT PARTY BAG + STICKER SET,0.07637942504060886
22619,4008,15620.09,708,421,SET OF 6 SOLDIER SKITTLES,0.07628389978564508
21891,12142,15547.75,835,483,TRADITIONAL WOODEN SKIPPING ROPE,0.07593061262081482
22173,5026,15411.9,997,383,METAL 4 HOOK HANGER FRENCH CHATEAU,0.07526716139960675
84378,11637,15388.44,1248,601,SET OF 3 HEART COOKIE CUTTERS,0.07515258969810111
22749,3759,15354.35,685,383,FELTCRAFT PRINCESS CHARLOTTE DOLL,0.0749861042205083
21094,19633,15334.029999999999,984,328,SET/6 RED SPOTTY PAPER PLATES,0.07488686735032098
85232B,3061,15332.53,539,208,SET OF 3 BABUSHKA STACKING TINS,0.07487954179395873
21844,5374,15329.44,494,252,RED RETROSPOT MUG,0.07486445114785249
22365,2329,15289.79,443,193,DOORMAT RESPECTABLE HOUSE,0.07467081227467692
22940,3491,15282.81,586,392,FELTCRAFT CHRISTMAS FAIRY,0.07463672401907125
22909,17144,15275.82,1086,578,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.07460258692642315
21975,31332,15236.62,1303,543,PACK OF 60 DINOSAUR CAKE CASES,0.07441114572015625
21165,9360,15167.38,966,321,BEWARE OF THE CAT METAL SIGN,0.07407299803847466
82582,7479,15110.980000000001,796,258,AREA PATROLLED METAL SIGN,0.07379755711925394
35970,8375,15072.58,692,415,ZINC FOLKART SLEIGH BELLS,0.07361002287638024
22946,976,15060.57,275,152,WOODEN ADVENT CALENDAR CREAM,0.0735513695884398
22606,1069,14881.94,374,269,WOODEN SKITTLES GARDEN SET,0.07267899349978028
22730,3702,14867.27,746,289,ALARM CLOCK BAKELIKE IVORY,0.07260734955855745
